"data";"workflow";"accuracy";"time"
"n1";"w4";0.852126301;85.91
"n1";"w8";0.960511768;40.79
"n1";"w3";0.865144174;93.96
"n1";"w7";0.972356481;46.6
"n1";"w2";0.873600282;79.78
"n1";"w1";0.975725928;55.07
"n1";"w6";0.810603398;77.85
"n1";"w5";0.875860178;83.84
"n1";"w76";0.93680207;40.2299999999997
"n1";"w80";0.963332191;35.8799999999997
"n1";"w75";0.891107406;37.1399999999997
"n1";"w79";0.957674829;28.0899999999997
"n1";"w74";0.884327765;32.1899999999997
"n1";"w73";0.965572975;27.9199999999997
"n1";"w78";0.945832681;28.9599999999997
"n1";"w77";0.8860093;39.9999999999997
"n1";"w84";0.854393846;38.1600000000002
"n1";"w88";0.965020103;27.2900000000001
"n1";"w83";0.883207989;35.4500000000002
"n1";"w87";0.949204699;19.7900000000001
"n1";"w82";0.865717434;27.0500000000001
"n1";"w81";0.9587933;20.4900000000002
"n1";"w86";0.887683214;22.1200000000002
"n1";"w85";0.864570914;39.5600000000002
"n1";"w92";0.903487185;29.7599999999991
"n1";"w96";0.965584432;25.2799999999991
"n1";"w91";0.892238651;29.8899999999991
"n1";"w95";0.955983097;17.8999999999991
"n1";"w90";0.86966014;22.4899999999991
"n1";"w89";0.968395934;17.5899999999991
"n1";"w94";0.954846797;18.4599999999991
"n1";"w93";0.875294561;29.5699999999991
"n1";"w100";0.85832761;80.2499999999999
"n1";"w104";0.967843045;46.0499999999999
"n1";"w99";0.883206775;83.1099999999999
"n1";"w103";0.974611269;49.0499999999999
"n1";"w98";0.904050202;67.7999999999999
"n1";"w97";0.979683921;48.3399999999999
"n1";"w102";0.817921964;72.0499999999999
"n1";"w101";0.903479513;78.4299999999999
"n1";"w108";0.918729312;45.7200000000006
"n1";"w112";0.965023928;40.6400000000006
"n1";"w107";0.888265365;43.2200000000006
"n1";"w111";0.960504142;33.7800000000006
"n1";"w106";0.909698667;37.9900000000006
"n1";"w105";0.968983175;33.7600000000006
"n1";"w110";0.95317033;34.5800000000006
"n1";"w109";0.913652848;45.3600000000006
"n1";"w116";0.86172893;46.4700000000007
"n1";"w120";0.967839226;33.9800000000007
"n1";"w115";0.880922644;45.1300000000007
"n1";"w119";0.948646737;27.4800000000007
"n1";"w114";0.902357188;35.1700000000007
"n1";"w113";0.959375491;29.6900000000007
"n1";"w118";0.895613188;29.5800000000007
"n1";"w117";0.901789052;47.5400000000007
"n1";"w124";0.913678331;27.3899999999994
"n1";"w128";0.961069759;29.1699999999994
"n1";"w123";0.883746851;28.4399999999994
"n1";"w127";0.93962117;23.1699999999994
"n1";"w122";0.906320294;25.5299999999994
"n1";"w121";0.955998378;22.5599999999994
"n1";"w126";0.955994548;23.5099999999994
"n1";"w125";0.913651565;32.0099999999994
"n1";"w132";0.848739003;71.15
"n1";"w136";0.970659625;43.84
"n1";"w131";0.876991417;84.12
"n1";"w135";0.964444307;40.37
"n1";"w130";0.892216992;58.2
"n1";"w129";0.971790853;37.06
"n1";"w134";0.758585206;58.59
"n1";"w133";0.892772389;70.4
"n1";"w140";0.93284789;36.39
"n1";"w144";0.966714377;34.56
"n1";"w139";0.884903544;34.83
"n1";"w143";0.955403459;26.72
"n1";"w138";0.900679467;30.22
"n1";"w137";0.966141128;27.16
"n1";"w142";0.940747296;27.41
"n1";"w141";0.899555877;36.89
"n1";"w148";0.858905954;33.4599999999996
"n1";"w152";0.966143664;27.0999999999996
"n1";"w147";0.879255096;33.3499999999996
"n1";"w151";0.93735366;18.0299999999996
"n1";"w146";0.890525255;23.6299999999996
"n1";"w145";0.960506673;17.0899999999996
"n1";"w150";0.923233805;19.5499999999996
"n1";"w149";0.893909977;33.5899999999996
"n1";"w12";0.943565194;43
"n1";"w16";0.958817501;37.21
"n1";"w11";0.865693232;39.02
"n1";"w15";0.967830317;29.81
"n1";"w10";0.882627114;34.45
"n1";"w9";0.96896407;28.61
"n1";"w14";0.944126934;31.48
"n1";"w13";0.874153154;43.32
"n1";"w156";0.914784081;25.8599999999998
"n1";"w160";0.965021363;25.3799999999998
"n1";"w155";0.884890828;26.7499999999998
"n1";"w159";0.945808491;17.8199999999998
"n1";"w154";0.901246366;21.5299999999998
"n1";"w153";0.964441742;17.7399999999998
"n1";"w158";0.954290112;18.3499999999998
"n1";"w157";0.897855243;27.4799999999998
"n1";"w164";0.856080453;74.650000000001
"n1";"w168";0.971788294;47.990000000001
"n1";"w163";0.886574888;88.250000000001
"n1";"w167";0.967834136;45.990000000001
"n1";"w162";0.911385268;61.410000000001
"n1";"w161";0.971789611;45.010000000001
"n1";"w166";0.756369952;61.930000000001
"n1";"w165";0.910259142;73.440000000001
"n1";"w172";0.918739492;43.2500000000023
"n1";"w176";0.967277434;40.2200000000023
"n1";"w171";0.890527803;41.9200000000023
"n1";"w175";0.945818677;32.9000000000023
"n1";"w170";0.902355917;36.6600000000023
"n1";"w169";0.961630257;32.9000000000023
"n1";"w174";0.958235332;33.8500000000023
"n1";"w173";0.909696102;43.5500000000023
"n1";"w180";0.865116211;44.1600000000007
"n1";"w184";0.966706727;35.4100000000007
"n1";"w179";0.902925341;43.8100000000007
"n1";"w183";0.954854423;27.2100000000007
"n1";"w178";0.908561044;33.9200000000007
"n1";"w177";0.957111777;28.5000000000007
"n1";"w182";0.923241426;28.7500000000007
"n1";"w181";0.91082603;44.0900000000007
"n1";"w188";0.914243942;24.6900000000012
"n1";"w192";0.96445321;30.7200000000012
"n1";"w187";0.890521425;29.5600000000012
"n1";"w191";0.939631379;24.3600000000012
"n1";"w186";0.904619637;26.2700000000012
"n1";"w185";0.945253095;24.0800000000012
"n1";"w190";0.955992006;24.3600000000012
"n1";"w189";0.905749565;31.6900000000012
"n1";"w196";0.872441057;84.6599999999993
"n1";"w200";0.965026458;40.5999999999993
"n1";"w195";0.89503229;104.829999999999
"n1";"w199";0.94638683;33.9699999999993
"n1";"w194";0.885990188;70.4599999999993
"n1";"w193";0.948656911;74.7999999999993
"n1";"w198";0.719558368;77.7799999999993
"n1";"w197";0.887685744;36.2999999999993
"n1";"w204";0.827847093;39.3199999999999
"n1";"w208";0.957124487;34.0499999999999
"n1";"w203";0.897306219;38.1399999999999
"n1";"w207";0.950914264;27.4899999999999
"n1";"w202";0.901232327;31.4199999999999
"n1";"w201";0.942997018;29.4899999999999
"n1";"w206";0.89106667;28.7699999999999
"n1";"w205";0.902938086;29.6199999999999
"n1";"w212";0.853819309;40.989999999998
"n1";"w216";0.962200958;27.479999999998
"n1";"w211";0.873590073;43.959999999998
"n1";"w215";0.929466952;17.929999999998
"n1";"w210";0.889386396;28.169999999998
"n1";"w209";0.94638434;34.989999999998
"n1";"w214";0.806445687;24.399999999998
"n1";"w213";0.892768587;20.119999999998
"n1";"w220";0.836882811;29.9599999999984
"n1";"w224";0.960510497;23.0599999999984
"n1";"w219";0.88658888;25.8099999999984
"n1";"w223";0.949213607;17.2799999999984
"n1";"w218";0.902377582;21.7499999999984
"n1";"w217";0.940752421;20.3699999999984
"n1";"w222";0.889387678;18.1099999999984
"n1";"w221";0.909712654;19.2299999999984
"n1";"w228";0.882600365;83.1799999999997
"n1";"w232";0.967281258;43.1499999999997
"n1";"w227";0.885442412;107.54
"n1";"w231";0.941875959;39.5699999999997
"n1";"w226";0.900107547;67.1699999999997
"n1";"w225";0.907518932;72.8199999999997
"n1";"w230";0.687978451;71.8999999999997
"n1";"w229";0.898409438;39.4099999999997
"n1";"w20";0.87131243;41.2300000000001
"n1";"w24";0.961068465;27.06
"n1";"w19";0.871891999;40.5600000000001
"n1";"w23";0.949771586;21.56
"n1";"w18";0.873035948;30.78
"n1";"w17";0.958235338;21.47
"n1";"w22";0.850434576;25.25
"n1";"w21";0.875295843;42.8900000000001
"n1";"w236";0.848736432;43.8700000000031
"n1";"w240";0.963329632;38.5900000000031
"n1";"w235";0.906885911;42.7500000000031
"n1";"w239";0.957121957;32.8900000000031
"n1";"w234";0.914214651;36.4900000000031
"n1";"w233";0.945268393;35.3900000000031
"n1";"w238";0.892214473;33.5000000000031
"n1";"w237";0.913638843;34.9200000000031
"n1";"w244";0.864540374;49.0800000000013
"n1";"w248";0.962200958;31.9000000000013
"n1";"w243";0.889414416;47.6800000000013
"n1";"w247";0.936800776;25.3900000000013
"n1";"w242";0.891643795;36.4300000000013
"n1";"w241";0.938528137;42.4800000000013
"n1";"w246";0.773679815;35.5300000000013
"n1";"w245";0.892205581;28.0900000000013
"n1";"w252";0.846490569;26.0599999999985
"n1";"w256";0.959381835;26.8299999999985
"n1";"w251";0.908587845;28.1899999999985
"n1";"w255";0.945832698;22.5599999999985
"n1";"w250";0.91478281;24.5099999999985
"n1";"w249";0.936800753;23.7399999999985
"n1";"w254";0.87245126;22.4399999999985
"n1";"w253";0.910823539;23.8899999999985
"n1";"w260";0.874130241;80.5000000000006
"n1";"w264";0.970662173;41.8900000000006
"n1";"w259";0.895052661;95.5000000000006
"n1";"w263";0.945259433;32.5100000000006
"n1";"w258";0.902377576;64.5200000000006
"n1";"w257";0.961062133;66.8600000000006
"n1";"w262";0.717858941;70.7700000000006
"n1";"w261";0.900680744;34.9200000000006
"n1";"w268";0.905745746;37.0300000000004
"n1";"w272";0.965589527;34.1900000000004
"n1";"w267";0.906344473;36.0500000000004
"n1";"w271";0.951472238;27.5100000000004
"n1";"w266";0.90578015;30.6900000000004
"n1";"w265";0.958248083;29.3300000000004
"n1";"w270";0.89502211;28.3500000000004
"n1";"w269";0.900135532;29.3600000000004
"n1";"w276";0.871323857;37.8599999999981
"n1";"w280";0.967840508;26.2099999999981
"n1";"w275";0.89617242;41.7199999999981
"n1";"w279";0.93058926;17.2299999999981
"n1";"w274";0.900685834;25.1899999999981
"n1";"w273";0.936241521;28.3399999999981
"n1";"w278";0.811525994;21.1099999999981
"n1";"w277";0.900685839;19.5099999999981
"n1";"w284";0.899535506;27.2999999999988
"n1";"w288";0.968409932;23.3299999999988
"n1";"w283";0.903487139;28.3399999999988
"n1";"w287";0.941315443;16.7499999999988
"n1";"w282";0.905206879;20.8199999999988
"n1";"w281";0.953156314;17.7299999999988
"n1";"w286";0.896173703;17.5999999999988
"n1";"w285";0.904074409;18.8399999999988
"n1";"w292";0.867926379;80.9400000000004
"n1";"w296";0.970100393;44.8500000000004
"n1";"w291";0.90799422;94.8600000000004
"n1";"w295";0.946957525;38.6300000000004
"n1";"w290";0.897289678;63.2900000000004
"n1";"w289";0.935641454;64.4100000000004
"n1";"w294";0.69023328;67.5700000000004
"n1";"w293";0.903494805;39.3200000000004
"n1";"w300";0.905182683;41.3500000000012
"n1";"w304";0.965025199;38.4100000000012
"n1";"w299";0.9113955;40.3600000000012
"n1";"w303";0.953741025;32.7700000000012
"n1";"w298";0.921549723;35.7900000000012
"n1";"w297";0.953738494;34.0200000000012
"n1";"w302";0.897287125;33.3700000000012
"n1";"w301";0.914770048;34.5600000000012
"n1";"w308";0.876951934;46.3200000000022
"n1";"w312";0.964455769;32.5000000000022
"n1";"w307";0.890529045;45.5900000000022
"n1";"w311";0.93566064;24.9200000000022
"n1";"w306";0.896161004;33.4100000000022
"n1";"w305";0.952025104;38.9200000000022
"n1";"w310";0.795702929;30.9700000000022
"n1";"w309";0.902931742;27.3900000000022
"n1";"w28";0.924947207;33.34
"n1";"w32";0.961634076;26.75
"n1";"w27";0.858937741;31.74
"n1";"w31";0.96500228;19.85
"n1";"w26";0.871908545;24.99
"n1";"w25";0.967269808;19.83
"n1";"w30";0.945264545;20.6
"n1";"w29";0.874170994;33.87
"n1";"w316";0.896160975;22.7600000000006
"n1";"w320";0.96502138;27.3400000000006
"n1";"w315";0.914229898;28.7600000000006
"n1";"w319";0.941888715;22.8000000000006
"n1";"w314";0.914204443;24.2100000000006
"n1";"w313";0.940760024;23.4800000000006
"n1";"w318";0.883165976;22.9800000000006
"n1";"w317";0.923812155;26.3900000000006
"n1";"w324";0.885986387;70.8599999999956
"n1";"w328";0.972352633;44.9099999999956
"n1";"w323";0.899557142;87.5799999999956
"n1";"w327";0.943007192;32.3499999999956
"n1";"w322";0.906885917;55.0499999999956
"n1";"w321";0.953179267;52.3699999999956
"n1";"w326";0.647313212;63.2499999999956
"n1";"w325";0.90858019;33.5599999999956
"n1";"w332";0.929463134;32.4899999999994
"n1";"w336";0.970660902;33.0299999999994
"n1";"w331";0.917608282;35.8799999999994
"n1";"w335";0.952033995;26.0599999999994
"n1";"w330";0.907459148;28.8299999999994
"n1";"w329";0.960509203;27.4199999999994
"n1";"w334";0.891087064;25.8199999999994
"n1";"w333";0.909145795;28.1699999999994
"n1";"w340";0.883178721;33.37
"n1";"w344";0.968965352;25.75
"n1";"w339";0.895065371;36
"n1";"w343";0.921559874;16.96
"n1";"w338";0.906890995;22.44
"n1";"w337";0.957104116;23.93
"n1";"w342";0.847066314;18.93
"n1";"w341";0.902940645;25.43
"n1";"w348";0.91590889;21.4699999999994
"n1";"w352";0.968402283;23.3899999999994
"n1";"w347";0.912531788;25.8099999999994
"n1";"w351";0.943560047;16.5799999999994
"n1";"w346";0.90520689;18.6499999999994
"n1";"w345";0.943574062;17.4399999999994
"n1";"w350";0.886571086;17.1499999999994
"n1";"w349";0.905769953;18.0599999999994
"n1";"w356";0.880349407;73.9400000000012
"n1";"w360";0.976305531;50.9400000000012
"n1";"w355";0.910805642;86.6700000000012
"n1";"w359";0.945268364;38.5400000000012
"n1";"w354";0.910254075;57.2500000000012
"n1";"w353";0.966141128;61.0300000000012
"n1";"w358";0.605558805;64.0900000000012
"n1";"w357";0.907436224;39.2600000000012
"n1";"w364";0.927762465;37.6900000000012
"n1";"w368";0.967843045;37.9700000000012
"n1";"w363";0.907454041;39.3000000000012
"n1";"w367";0.946970264;31.8000000000012
"n1";"w362";0.91759426;33.9700000000012
"n1";"w361";0.959938532;33.4400000000012
"n1";"w366";0.892777542;31.9000000000012
"n1";"w365";0.917033745;33.5900000000012
"n1";"w372";0.895587721;43.4099999999974
"n1";"w376";0.969530957;34.3699999999974
"n1";"w371";0.89783746;44.7599999999974
"n1";"w375";0.937365111;25.5199999999974
"n1";"w370";0.912517795;31.1299999999974
"n1";"w369";0.960491398;35.2399999999974
"n1";"w374";0.838035703;27.3899999999974
"n1";"w373";0.909689753;26.7499999999974
"n1";"w380";0.919305068;22.9999999999988
"n1";"w384";0.965583161;28.9199999999988
"n1";"w379";0.906873178;28.2899999999988
"n1";"w383";0.941887409;23.8799999999988
"n1";"w378";0.918726753;24.7899999999988
"n1";"w377";0.920970114;24.4599999999988
"n1";"w382";0.87300538;24.0099999999988
"n1";"w381";0.915902529;24.9799999999988
"n1";"w36";0.869060172;84.1699999999999
"n1";"w40";0.965021363;43.7799999999999
"n1";"w35";0.878688243;95.8399999999999
"n1";"w39";0.974036744;50.7199999999999
"n1";"w34";0.895031025;73.2799999999999
"n1";"w33";0.980817691;56.4899999999999
"n1";"w38";0.813413658;70.9899999999999
"n1";"w37";0.896159699;82.5299999999999
"n1";"w44";0.930594373;48.2500000000003
"n1";"w48";0.95656143;42.0900000000003
"n1";"w43";0.887721431;44.8600000000003
"n1";"w47";0.962190784;35.2500000000003
"n1";"w42";0.911395488;40.0000000000003
"n1";"w41";0.970662185;34.8300000000003
"n1";"w46";0.94978432;36.2400000000003
"n1";"w45";0.909703751;48.4700000000003
"n1";"w52";0.865104732;49.2599999999997
"n1";"w56";0.963888882;33.4399999999997
