1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
55.07;76.33;152.89;64.7;64.46;37.88;51.96;44.44;39.66;38.93;112.78;76.68;94.13;53.82;115.27;41.55;126.01;49.17;35.28;65.8;46.84;45.79;39.83;399.42;131.91;81.92;62.93;54.43;45.48;41.27;37.11;23.48;16.7;29.96;195.63;43.49;226.17;100.04;187.99;167.36;126.83;151.52;133.75;73.02;73.4;52.14;15.54;42.14;14.79;31.74
34.45;36.61;72.2;48.45;31.84;24.15;29.67;29.05;46.19;34.15;68.47;33.56;56.63;31.7;57.03;29.58;41;20.32;16.43;27.47;29.22;41.46;22.01;315.88;68;29.36;25.06;26.21;20.72;19.64;18.07;13.16;11.8;11.96;143.63;17.71;94.45;48.75;91.54;51.1;60.22;44.66;58.13;34.97;30.87;54.46;12.23;17.22;7.63;14.01
80.25;106.69;262.65;127.25;104.71;86.61;80.93;69.13;88.78;74.95;210.63;95.9;174.51;95.07;235.88;68.26;175.65;75.85;59.51;136.54;72.69;104.09;77.98;3669.97;452.04;188.2;104.96;89.5;73.93;57.61;41.99;17.75;14.77;15.24;1032.4;36.37;771.97;228.59;684.81;508.23;500.92;515.38;372.35;188.42;177.85;331.04;9.21;17.29;4.81;12.57
78.43;95.82;171.92;109.62;87.54;70.31;76.53;76.59;75.27;64.25;135.79;86.94;114.36;81.05;141.68;64.62;124.42;65.96;54.16;85.91;63.64;83.7;70.58;448.58;165.64;101.89;70.9;65.16;60.31;51.81;46.51;29.79;27.77;28.19;226.88;43.68;203.47;113.3;201.81;154.3;153.81;150.8;143.93;99.86;95.8;84.59;22.27;31.33;14.08;25.34
72.05;93.72;184.49;99.19;79.05;62.06;70.29;65.66;66.61;48.79;116.48;87.81;100.68;72.01;118.19;56.28;120.93;50.34;35.9;50.7;46.72;78.69;53.23;170.43;73.17;54.46;47.42;46.43;43.28;40.16;36.41;20.36;18.5;18.97;104.37;32.55;90.73;61.83;85.96;76.59;76.77;77.53;71.59;53.65;52.52;31.17;14.1;21.78;9.14;16.96
49.05;61.63;178.65;78.04;59.12;54.43;50.74;45.35;46.83;40.76;124.41;67.83;103.07;58.25;145.35;37.68;145.97;52.2;40.81;101.24;35.97;56.77;51.29;1196.48;262.62;111.46;59.95;47.76;43.98;38.11;32.45;18.77;16.51;18.5;408.79;41.78;229.21;142.44;237.61;307.2;169.19;169.71;152.64;80.51;81.5;49.35;12.28;23.9;7;18.18
46.05;56.13;108.95;57.46;49.8;49.46;45.05;38.27;44.44;41.78;96.56;52.72;82.23;53.99;108.19;37.49;93.6;53.91;44.84;88.48;44.08;49.13;53.33;449.45;176.37;99.79;57.84;43.07;41.6;35.63;29.4;15.27;15.17;15.05;263.26;30.91;192.32;106.91;201.06;174.16;150.02;140.11;131.97;81.04;79.15;66.5;7.95;14.1;6.21;12.4
33.76;39.27;66.53;47.39;33.1;29.4;30.93;29.82;33.84;36.55;66.27;34.73;59.06;32.05;55.49;30.9;44.83;26.94;19.85;33.17;30.17;33.55;25.77;202.65;43.03;27.68;24.39;24.77;19.2;17.63;17;11.88;10.92;11.64;71.91;15.78;58.06;36.41;59.46;43.79;45.24;44.31;42.71;30.54;27.9;36.61;10.43;15.82;6.77;12.08
37.99;38.95;74.44;51.26;35.83;28.66;34.1;34.09;35.77;36.91;73.88;35.55;60.12;36.3;62.49;33.84;46.03;27.33;20.36;35.35;33.64;36.58;26.85;306.54;53.74;29.6;26.71;26.16;20.17;18.11;18.65;12.05;11.18;11.77;153.59;16.39;93.09;48.47;86.53;46.81;50.58;50.81;55.58;37.36;29.66;53.72;11.44;15.65;7.19;13.32
43.22;44.03;108.37;58.37;42.97;30.9;40.73;38.3;44.15;45.78;107.5;38.36;89.55;44.38;86.95;37.98;54.28;28.34;22.15;45.45;37.58;40.31;29.4;405.29;69.26;31.99;27.9;32.59;22.13;19.24;23.17;12.34;11.44;11.88;130.16;16.99;141.37;70.28;98.86;54.71;59.62;65.88;71.94;46.06;33.32;82.03;11.73;17.48;7.24;14.64
45.72;43.79;95.78;60.75;41.72;33.5;40.53;37.46;50.14;53.91;109.66;34.03;94.16;47.49;82.1;43.78;46.44;26.5;19.3;32.11;46.19;44.3;24.98;1689.85;44.65;27.48;23.69;32.1;18.61;17.25;16.62;11.57;10.66;11.37;326.67;15.1;182.11;73.77;147.94;49.53;48.62;52.77;85;45.11;31.78;240.19;10.04;15.05;6.48;11.34
45.36;46.51;82.49;59.44;43.27;35.11;41.51;40.2;46;49.02;86.65;39.96;74.59;43.96;69.55;42.9;50.67;28.64;22.64;41.24;42.96;44.16;30.12;301.52;57.08;31.63;32.02;33.13;22.66;20.06;23.07;12.73;11.8;12.15;118.73;17.83;94.71;56.03;85.3;52.88;58.22;60.55;63.55;43.27;34.31;75.78;13.53;20.08;7.7;16.55
