"n1";"n10";"n11";"n12";"n13";"n14";"n15";"n16";"n17";"n18";"n19";"n2";"n20";"n21";"n22";"n23";"n3";"n4";"n5";"n6";"n7";"n8";"n9";"o1";"o10";"o11";"o12";"o13";"o14";"o15";"o16";"o17";"o18";"o19";"o2";"o20";"o21";"o22";"o3";"o4";"o5";"o6";"o7";"o8";"o9";"r1";"r2";"r3";"r4";"r5"
"w1  ";0.882683419425987;0.853841861921045;0.731668863143034;0.873243079277136;0.882440263554703;0.854754730491789;0.887226773847125;0.892177929225151;0.881944786135334;0.892133219393403;0.696911997494667;0.832756299828218;0.73959699344502;0.873371531602823;0.66554130368022;0.897682897236928;0.631319150579567;0.801557330085924;0.785906673115914;0.563103418696154;0.865274871569451;0.890016111467693;0.841625355870232;0.762354678014076;0.511469632089438;0.651324848374371;0.764990898220983;0.830335981699147;0.800368522445969;0.809462046387767;0.845961496983637;0.855180306087824;0.866505375967659;0.779740788617846;0.731760222469239;0.595039550899884;0.767843904276906;0.508935891891238;0.746657620818801;0.656498713887784;0.737612900246171;0.756131727660706;0.725063690783605;0.786980091901043;0.76566053522123;0.884745827741751;0.925717917703809;0.824480366959352;0.82233930120525;0.716471571705915
"w10";0.807881259797043;0.801847917506274;0.717460669939454;0.812859076836229;0.812487920403813;0.805834902538181;0.834514225693654;0.836172733692153;0.822670115729247;0.825293698892173;0.759434147497392;0.796087472099374;0.761957377165626;0.789765983298098;0.706653959091741;0.831264549675657;0.686884618569626;0.697711033257444;0.728673205373505;0.684883641902887;0.817009762330765;0.828309894491364;0.731229643994389;0.782029863467111;0.67079875672061;0.694186007184293;0.780909358032873;0.835840946046353;0.800684094571434;0.814162924447868;0.834233932164;0.817629588124001;0.791172359262487;0.765579265346256;0.783576525927699;0.6984524194271;0.776902166585454;0.698660664859333;0.758705306478029;0.728569598807195;0.773957065338918;0.795962147402968;0.749688621710755;0.807423657754467;0.790635682011271;0.864271876619893;0.919170118802349;0.865658893273224;0.808964080812561;0.80042420734834
"w100";0.769204748810432;0.724023722495751;0.675777286973163;0.774312476014091;0.723967356546976;0.688192489932956;0.763754810942693;0.753005227616204;0.72341740913666;0.728551001856785;0.687053549624676;0.679054112817839;0.665483356246021;0.736989410780621;0.644601400449546;0.776538491850383;0.595259287277931;0.701704514869272;0.647123846743769;0.550223603419089;0.724031082875291;0.744291534388606;0.687384000114634;0.692336179122005;0.517089103735305;0.568427946851305;0.666171354243473;0.721873250519168;0.71614181405295;0.71251942886136;0.75400062117421;0.6592290063114;0.736775454337424;0.702888289274396;0.663819163640538;0.592681028384412;0.58584637411943;0.583249393287271;0.590418102074866;0.587966273826752;0.667011792346261;0.650258390109317;0.644927643865961;0.697066899050023;0.67976371222794;0.805825681998636;0.887838171548708;0.829028260707628;0.791095717008247;0.758289581420574
"w101";0.810132870560191;0.794999678814157;0.722502701804591;0.804601461960534;0.814767248951451;0.793196646505667;0.821513825526911;0.826070741100504;0.828194492511412;0.812384090298984;0.751961724506835;0.786814905798856;0.740801306202057;0.784444347243439;0.713144910146695;0.835517725050974;0.651640148004356;0.755222556599882;0.711918853506566;0.675712102559832;0.789801231442141;0.823370629020674;0.735033128317938;0.788947304384753;0.669988737261867;0.696176094561443;0.777404806630704;0.816227922878406;0.76747229325577;0.794168489100673;0.799231888443275;0.800222748315132;0.773457260470608;0.731560240434953;0.783320744214914;0.682886129264072;0.770885055829908;0.68634784524409;0.745776527282726;0.717653393741533;0.767875457225977;0.785759748051441;0.742846328501245;0.797853170935811;0.786739747801333;0.854810532211464;0.901534238753196;0.85374253841288;0.776728821015437;0.762801670776786
"w102";0.734972383808926;0.674691178948382;0.511306189380378;0.738780255826649;0.754391462726022;0.615367718540994;0.726841688086086;0.773259668432311;0.55321403551282;0.742860643459663;0.703703220402763;0.67722199178534;0.684319367128209;0.611875219174641;0.711582639521467;0.71199479052183;0.336655886500402;0.660288395853601;0.68496340339284;0.685299546780458;0.746406821532556;0.646302217349436;0.648174583466212;0.818527874497098;0.665364653238167;0.657728364053726;0.683987775654088;0.717709460229574;0.69350408196847;0.645564698511033;0.557656685592575;0.777359925230137;0.770658699383538;0.748856080160435;0.778612406805719;0.498821645791253;0.790121283191498;0.672307976420168;0.775305744337582;0.71703761283068;0.776899530688492;0.783834048422443;0.747014144247236;0.768941275826692;0.750569931235636;0.897970190063068;0.685795840276296;0.545381656781804;0.739962538678014;0.630340965488297
"w103";0.884230423186166;0.870764923374532;0.778028561619573;0.864307419409297;0.87978647753125;0.842022878038602;0.886730882803612;0.891716301081718;0.879211412427633;0.882305706082555;0.837879949864998;0.821780828698851;0.825244941551274;0.85985601398084;0.807512726517793;0.896280114544629;0.700024575344772;0.785568518867446;0.744637934051691;0.690283111176506;0.838864227582122;0.87840836307323;0.817341465656247;0.731890005192042;0.59314619420006;0.629063652859296;0.746000750845615;0.810921475064935;0.776159730506259;0.784609055943879;0.81284761621603;0.860018774448719;0.859906323233771;0.786181568757048;0.703333960438143;0.747324181373513;0.732708626780983;0.65792733829909;0.715351361869641;0.645086914135782;0.7366604274434;0.745209836082779;0.703993427666741;0.79239359758206;0.751770461120713;0.878081783647228;0.915096856680125;0.885597550992063;0.761874630225936;0.787999037869259
"w104";0.879476405345284;0.873278145504059;0.797868505102344;0.876325616665247;0.888153833009375;0.859114563892989;0.887347755172054;0.889342869354596;0.875732696174026;0.871583340405896;0.836454297374962;0.855205817026262;0.827498119689333;0.866949778719337;0.808082178574733;0.885581642064477;0.740258165485208;0.81682161553548;0.812053087867913;0.762781304312909;0.869835663545745;0.884792792864968;0.828570938155022;0.804931799177392;0.698241222258613;0.702756950203638;0.809038432029414;0.853757530128996;0.835371947999496;0.842874331073893;0.856140270338177;0.876171349266935;0.858800226655079;0.825276787524866;0.78028911454196;0.766176587615184;0.792077011421396;0.739459982923624;0.782667435004981;0.727138083141401;0.791381193229205;0.81956560925261;0.764805480465064;0.838673557923535;0.8129156940112;0.884742120095982;0.948134517594151;0.920908757188376;0.86213153717067;0.865113235169462
"w105";0.887372928315611;0.86622638808761;0.731275616245061;0.857003240805625;0.890785214805478;0.759411773476302;0.881872279242064;0.898301118066634;0.884060609882351;0.874522117162757;0.738017472145832;0.84635843803882;0.728722532642973;0.868203186551545;0.773420492692924;0.800466205645509;0.676716772375898;0.755845986265616;0.806815805089285;0.671979487560143;0.860808513062654;0.890956514954833;0.826804029549527;0.803648277033017;0.683148603607358;0.739056934940172;0.812374369917055;0.827208891237217;0.821825592763391;0.849837593104692;0.769481106502859;0.866220382516886;0.868847172631447;0.821521521720289;0.803181988509334;0.719032216474888;0.729269844297346;0.723167395451995;0.806262904531272;0.775735028822524;0.797116514642822;0.651464064314111;0.79735261262961;0.847155290649237;0.825865429038279;0.890690917472965;0.933629239434781;0.799809565828517;0.830015259005169;0.713644126915812
"w106";0.830626583057474;0.815495180295028;0.723414073510065;0.807800496196881;0.834096268868814;0.812586592353075;0.851584885764315;0.849150971473638;0.846531392404436;0.8260358627464;0.762855305969928;0.816311803149153;0.763961882436194;0.80175313059361;0.725452691810881;0.844496753883818;0.700655146722373;0.715144879533118;0.726201179248373;0.703059405875294;0.818814230139949;0.843818548664583;0.741246034927526;0.787707034282161;0.688193194958992;0.709103196121731;0.792463020310019;0.837516399111242;0.800329976654302;0.837291989300084;0.842990658499463;0.852254535985738;0.814981171922701;0.800108179534812;0.78378403731482;0.748393231464027;0.781424290641149;0.708262484423909;0.758865958411355;0.732647099672625;0.791141239748122;0.811151540662839;0.767456360250647;0.818543889692016;0.79199355383195;0.863403377098067;0.918048062149587;0.871498394622642;0.80843077729383;0.789904925253751
"w107";0.808445242161826;0.824969626729214;0.639736079729466;0.790042096468436;0.809627584264696;0.817058233730766;0.830481583705587;0.801234572841261;0.834231720686621;0.798996257399807;0.739399145590809;0.814756245954644;0.724293602237914;0.745696769700664;0.66481229911774;0.833814298423481;0.625712316616882;0.683034233275826;0.747988573510039;0.649013375957353;0.791898607039093;0.828885171629575;0.723600753041137;0.785273631143139;0.660242769984522;0.667928089387745;0.793855202727022;0.806118166841977;0.787824247405651;0.834524789132909;0.782243350562732;0.83623226674021;0.8105761235374;0.797935123778433;0.792372264561155;0.733672015743092;0.773160625911837;0.691798043705636;0.701559516755495;0.729797221806631;0.783613205457581;0.798318311407841;0.754824198391292;0.816748061651407;0.720138964474521;0.857917263142829;0.908124354218359;0.878484657193402;0.813365091032439;0.796470696263492
