"workflow";"mean";"sd";"min";"max";"median"
"1";"w4";0,76397963604;0,0806452348211684;0,570559216;0,93499649;0,7575268325
"2";"w8";0,91097210138;0,0513289127243871;0,784216886;0,995706076;0,9156991265
"3";"w3";0,82064122404;0,0757680901566353;0,646477777;0,961428012;0,8423255975
"4";"w7";0,87649769138;0,0797992669619266;0,672830545;0,97848156;0,8758225785
"5";"w2";0,8478829893;0,0600591069354606;0,722382583;0,978546705;0,8557319005
"6";"w1";0,86772196502;0,106786476791568;0,571041172;0,991436595;0,88202713
"7";"w6";0,73824354882;0,114584152777682;0,492598471;0,977474059;0,7385418815
"8";"w5";0,8535293389;0,0566601088282565;0,72375621;0,969991323;0,862548352
"9";"w76";0,84027619652;0,0723794478477636;0,659212163;0,9642525;0,842710282
"10";"w80";0,90815424616;0,0541721403016588;0,786089887;0,997142857;0,917479756
"11";"w75";0,83983325476;0,0688706139110339;0,687702446;0,959999347;0,859283893
"12";"w79";0,89684634308;0,0549850013327152;0,775172878;0,981436408;0,9034080815
"13";"w74";0,85756916716;0,0557824168326076;0,743336203;0,978554915;0,873086059
"14";"w73";0,8835304028;0,070931329066117;0,741290285;0,991436595;0,8835900535
"15";"w78";0,90528739168;0,0467096480980073;0,785896927;0,981818828;0,9183726735
"16";"w77";0,85893032458;0,055668072954292;0,74470279;0,981420175;0,873890039
"17";"w84";0,76837578012;0,08963780848044;0,523177182;0,952823742;0,76926882
"18";"w88";0,90735533224;0,0552484439767908;0,757421428;0,997142857;0,910982496
"19";"w83";0,8331961098;0,0708441835401418;0,656782909;0,960015767;0,854036349
"20";"w87";0,86064681304;0,0780417942310042;0,653922483;0,978587382;0,8599711215
"21";"w82";0,84479409064;0,0615516524020684;0,709838457;0,977118133;0,8526318385
"22";"w81";0,83750484944;0,112757490902007;0,577791973;0,989999907;0,8486661705
"23";"w86";0,8137274734;0,101289456015393;0,550856652;0,979887912;0,8411695915
"24";"w85";0,85189197588;0,0592251685206021;0,73020449;0,975722029;0,8613020535
"25";"w92";0,82295585744;0,0815334504540618;0,597193997;0,9642525;0,8297801345
"26";"w96";0,90235978048;0,0577496139383532;0,758029696;0,997142857;0,9098939205
"27";"w91";0,83926474508;0,0688293933537406;0,675333018;0,971403661;0,8600270215
"28";"w95";0,88974400942;0,0574840372187235;0,755774581;0,981444619;0,8960965945
"29";"w90";0,8558828942;0,0580224644706784;0,731599159;0,978554915;0,867355394
"30";"w89";0,8730050871;0,0778584293739573;0,69844624;0,997134647;0,88439408
"31";"w94";0,89601879608;0,0540165658413303;0,750826796;0,97999972;0,902257085
"32";"w93";0,85775804838;0,0573545106783805;0,739120145;0,981420175;0,8691961815
"33";"w100";0,77799164052;0,0735248040972105;0,602483015;0,938513024;0,78672829
"34";"w104";0,9187041591;0,0502781469644026;0,788464828;0,998571429;0,9227856595
"35";"w99";0,8430465242;0,0670546649569845;0,660882455;0,959982927;0,863519347
"36";"w103";0,88163549414;0,0777712604804079;0,681781077;0,981401084;0,8862222105
"37";"w98";0,85645048182;0,0580041012715127;0,73557771;0,977126157;0,8671644695
"38";"w97";0,86231761636;0,109710811870979;0,578496;0,992856956;0,8840880605
"39";"w102";0,7657086963;0,104548476317663;0,379533018;0,978600289;0,7847604775
"40";"w101";0,86173371554;0,0555659457685111;0,735156986;0,974260804;0,8758828915
"41";"w108";0,8483744732;0,0691196158075297;0,682186423;0,96712597;0,8533137935
"42";"w112";0,91150508802;0,0530264147751523;0,788770069;0,997142857;0,919583916
"43";"w107";0,84742273528;0,066700711478033;0,691418029;0,965779034;0,8648958135
"44";"w111";0,90120730408;0,0527911971629488;0,780990094;0,97861192;0,90770958
"45";"w106";0,86664574794;0,054100544752864;0,760269933;0,975721936;0,876141304
"46";"w105";0,87743812724;0,0724353736389727;0,716230825;0,989991697;0,8823706295
"47";"w110";0,90856719358;0,0485719617215372;0,787129782;0,980852541;0,919480856
"48";"w109";0,86785268666;0,052860593643321;0,766207069;0,970032001;0,8808742365
"49";"w116";0,78109062226;0,0829928452507628;0,562017504;0,951394984;0,7827019035
"50";"w120";0,91215339948;0,0543919326714161;0,766368156;0,998571429;0,9167840055
"51";"w115";0,84089141204;0,0701249337268297;0,658829322;0,9728647;0,857347252
"52";"w119";0,86737132376;0,078710904306029;0,657178981;0,97860371;0,868106808
"53";"w114";0,85305226298;0,0607258671869194;0,717420453;0,977126157;0,8636619365
"54";"w113";0,84439592112;0,110734311972909;0,528025034;0,992865166;0,8685592535
"55";"w118";0,81978010692;0,104572918656503;0,497473766;0,980048476;0,8542471605
"56";"w117";0,85947217996;0,0570169664926551;0,725257373;0,975697585;0,869760069
"57";"w124";0,83340187752;0,0778466298887451;0,620172888;0,968570962;0,8443236975
"58";"w128";0,90673737994;0,0556134301653423;0,765350076;0,998571429;0,916552431
"59";"w123";0,84625605788;0,0652051497067557;0,688947548;0,975746473;0,859579841
"60";"w127";0,89617839234;0,0566862080452569;0,761548793;0,981460946;0,905642449
"61";"w122";0,86426024918;0,055839045192218;0,742375816;0,975721936;0,870728378
"62";"w121";0,8706280467;0,094120527918536;0,503435336;0,988571242;0,8885304775
"63";"w126";0,90110070434;0,0532806241459398;0,763611497;0,981436408;0,906434577
"64";"w125";0,86625212342;0,0541307267601132;0,760063721;0,970032001;0,8770130765
"65";"w132";0,76880758362;0,074473472140578;0,58987312;0,940790172;0,7747602055
"66";"w136";0,91528181218;0,0510617324215298;0,789953164;0,997142857;0,9192763195
"67";"w131";0,8378323643;0,0665990470763323;0,678617646;0,964309692;0,8530826545
"68";"w135";0,87366127656;0,0791596968206136;0,670801663;0,979714443;0,873294994
"69";"w130";0,8532488406;0,0573655711105502;0,733429088;0,974269014;0,8622620125
"70";"w129";0,85874293742;0,110453262321268;0,575265318;0,988571335;0,8772101025
"71";"w134";0,77165800192;0,0944479933560669;0,419994073;0,981979599;0,7839952015
"72";"w133";0,8571558892;0,0545390791407223;0,743682859;0,97000765;0,8707023685
"73";"w140";0,84210781048;0,0725186776352485;0,658196399;0,96424429;0,845507058
"74";"w144";0,90853299642;0,0548906981184654;0,786043542;0,997142857;0,917090147
"75";"w139";0,84335129584;0,0674170739114363;0,680683767;0,968579172;0,8623133035
"76";"w143";0,89738847938;0,0551095648905681;0,777230831;0,9828814;0,906196852
"77";"w138";0,85709763834;0,0565576101294477;0,737548364;0,977142577;0,8713122045
"78";"w137";0,88331669058;0,0733709340299628;0,699660893;0,992848839;0,890455755
"79";"w142";0,90682669192;0,0472813159987396;0,782592508;0,982783975;0,9210629535
"80";"w141";0,85809509338;0,0570838037902601;0,734130734;0,974301668;0,8726049025
"81";"w148";0,77796792266;0,0863363852119195;0,536598431;0,954260431;0,7859108355
"82";"w152";0,90709440014;0,0553382410180043;0,758234932;0,997142857;0,9131451175
"83";"w147";0,83761505862;0,0697228968072892;0,673141845;0,968579172;0,8596166505
"84";"w151";0,86081207566;0,0765501277083969;0,663280015;0,971428105;0,863935416
"85";"w146";0,84980008418;0,0603834700454941;0,709435591;0,974269014;0,860429703
"86";"w145";0,83842721936;0,108411982465635;0,575073386;0,990024257;0,8533829745
"87";"w150";0,83587620248;0,0930808321803459;0,570042266;0,980531516;0,8507523605
"88";"w149";0,85487362482;0,0572644955911938;0,730991222;0,97000765;0,8644994615
"89";"w12";0,84337500702;0,0737417208312319;0,655956492;0,964260617;0,8400802465
"90";"w16";0,90695671902;0,0535794787672553;0,783244855;0,997134647;0,91463708
"91";"w11";0,83287682644;0,067934802838771;0,673027606;0,968587289;0,851347556
"92";"w15";0,89587019664;0,0542416146806951;0,778463686;0,984293645;0,9020770215
