"user";"data";"pstrat";"no.terms"
23.31;"o1";"p1";1471
10.56;"o2";"p1";1424
9.25999999999999;"o3";"p1";1381
7.63;"o4";"p1";1386
7.47;"o5";"p1";1389
7.5;"o6";"p1";1427
6.75;"o7";"p1";1436
4.64000000000001;"o8";"p1";1365
4.49000000000001;"o9";"p1";1316
6.97;"o10";"p1";1335
4.53;"o11";"p1";1370
3.63999999999999;"o12";"p1";1440
3.28;"o13";"p1";1436
2.91999999999999;"o14";"p1";1341
2.66999999999999;"o15";"p1";1365
2.31;"o16";"p1";1454
1.47999999999999;"o17";"p1";1456
1.32000000000002;"o18";"p1";1405
1.41;"o19";"p1";1515
2.15000000000001;"o20";"p1";1466
9.28;"o21";"p1";1426
5.26999999999998;"o22";"p1";1417
3.97999999999999;"n1";"p1";1946
4.43000000000001;"n2";"p1";2379
5.94999999999999;"n3";"p1";2251
4.65000000000001;"n4";"p1";1464
3.13;"n5";"p1";1248
5.86000000000001;"n6";"p1";1225
3.59;"n7";"p1";1387
4.06999999999999;"n8";"p1";2004
3.64000000000001;"n9";"p1";1564
4.38;"n10";"p1";2188
7.31999999999999;"n11";"p1";2773
5.10999999999996;"n12";"p1";2829
3.94;"n13";"p1";1935
3.41999999999996;"n14";"p1";1615
3.70999999999998;"n15";"p1";1937
3.56;"n16";"p1";1965
3.69;"n17";"p1";1725
3.19;"n18";"p1";1387
6.5;"n19";"p1";1984
5.11000000000001;"n20";"p1";1818
3.79000000000002;"n21";"p1";1754
6.10000000000002;"n22";"p1";1895
3.38;"n23";"p1";1625
6.13999999999999;"r1";"p1";634
1.05000000000001;"r2";"p1";1650
1.42999999999995;"r3";"p1";1705
0.699999999999989;"r4";"p1";1230
1.21999999999997;"r5";"p1";1522
93.22;"o1";"p2";698
48.91;"o2";"p2";383
39.54;"o3";"p2";285
35.27;"o4";"p2";225
35.1;"o5";"p2";303
35.86;"o6";"p2";186
32.36;"o7";"p2";297
22.9399999999999;"o8";"p2";277
21.62;"o9";"p2";238
32.25;"o10";"p2";278
22.88;"o11";"p2";145
19.3200000000001;"o12";"p2";223
18.23;"o13";"p2";318
15.29;"o14";"p2";235
14.3000000000001;"o15";"p2";262
13.86;"o16";"p2";243
10.25;"o17";"p2";218
9.29999999999995;"o18";"p2";164
10.0600000000001;"o19";"p2";104
13.13;"o20";"p2";240
42.53;"o21";"p2";336
25.5599999999999;"o22";"p2";344
22.89;"n1";"p2";518
30.1999999999999;"n2";"p2";201
35.9599999999999;"n3";"p2";171
18.05;"n4";"p2";55
14;"n5";"p2";102
20.1099999999999;"n6";"p2";201
16.45;"n7";"p2";575
25.2700000000002;"n8";"p2";750
18.45;"n9";"p2";154
28.25;"n10";"p2";372
51.5;"n11";"p2";460
