"data";"pstrat";"algorithm";"workflow";"no.terms";"user.x";"user.y";"accuracy";"time"
"n1";"p1";"knn";"w4";1946;3.97999999999999;81.93;0.852126301;85.91
"n1";"p1";"ranger";"w8";1946;3.97999999999999;36.81;0.960511768;40.79
"n1";"p1";"JRip";"w3";1946;3.97999999999999;89.98;0.865144174;93.96
"n1";"p1";"svmLinear2";"w7";1946;3.97999999999999;42.62;0.972356481;46.6
"n1";"p1";"J48";"w2";1946;3.97999999999999;75.8;0.873600282;79.78
"n1";"p1";"nnet";"w1";1946;3.97999999999999;51.09;0.975725928;55.07
"n1";"p1";"lda";"w6";1946;3.97999999999999;73.87;0.810603398;77.85
"n1";"p1";"C5.0Tree";"w5";1946;3.97999999999999;79.86;0.875860178;83.84
"n1";"p10";"knn";"w76";458;22.3599999999997;17.87;0.93680207;40.2299999999997
"n1";"p10";"ranger";"w80";458;22.3599999999997;13.52;0.963332191;35.8799999999997
"n1";"p10";"JRip";"w75";458;22.3599999999997;14.78;0.891107406;37.1399999999997
"n1";"p10";"svmLinear2";"w79";458;22.3599999999997;5.73;0.957674829;28.0899999999997
"n1";"p10";"J48";"w74";458;22.3599999999997;9.83;0.884327765;32.1899999999997
"n1";"p10";"nnet";"w73";458;22.3599999999997;5.56;0.965572975;27.9199999999997
"n1";"p10";"lda";"w78";458;22.3599999999997;6.6;0.945832681;28.9599999999997
"n1";"p10";"C5.0Tree";"w77";458;22.3599999999997;17.64;0.8860093;39.9999999999997
"n1";"p11";"knn";"w84";855;5.34000000000015;32.82;0.854393846;38.1600000000002
"n1";"p11";"ranger";"w88";855;5.34000000000015;21.95;0.965020103;27.2900000000001
"n1";"p11";"JRip";"w83";855;5.34000000000015;30.11;0.883207989;35.4500000000002
"n1";"p11";"svmLinear2";"w87";855;5.34000000000015;14.45;0.949204699;19.7900000000001
"n1";"p11";"J48";"w82";855;5.34000000000015;21.71;0.865717434;27.0500000000001
"n1";"p11";"nnet";"w81";855;5.34000000000015;15.15;0.9587933;20.4900000000002
