"data";"workflow";"time"
"n1";"w4";85.91
"n1";"w8";40.79
"n1";"w3";93.96
"n1";"w7";46.6
"n1";"w2";79.78
"n1";"w1";55.07
"n1";"w6";77.85
"n1";"w5";83.84
"n1";"w76";40.2299999999997
"n1";"w80";35.8799999999997
"n1";"w75";37.1399999999997
"n1";"w79";28.0899999999997
"n1";"w74";32.1899999999997
"n1";"w73";27.9199999999997
"n1";"w78";28.9599999999997
"n1";"w77";39.9999999999997
"n1";"w84";38.1600000000002
"n1";"w88";27.2900000000001
"n1";"w83";35.4500000000002
"n1";"w87";19.7900000000001
"n1";"w82";27.0500000000001
"n1";"w81";20.4900000000002
"n1";"w86";22.1200000000002
"n1";"w85";39.5600000000002
"n1";"w92";29.7599999999991
"n1";"w96";25.2799999999991
"n1";"w91";29.8899999999991
"n1";"w95";17.8999999999991
"n1";"w90";22.4899999999991
"n1";"w89";17.5899999999991
"n1";"w94";18.4599999999991
"n1";"w93";29.5699999999991
"n1";"w100";80.2499999999999
"n1";"w104";46.0499999999999
"n1";"w99";83.1099999999999
"n1";"w103";49.0499999999999
"n1";"w98";67.7999999999999
"n1";"w97";48.3399999999999
"n1";"w102";72.0499999999999
"n1";"w101";78.4299999999999
"n1";"w108";45.7200000000006
"n1";"w112";40.6400000000006
"n1";"w107";43.2200000000006
"n1";"w111";33.7800000000006
"n1";"w106";37.9900000000006
"n1";"w105";33.7600000000006
"n1";"w110";34.5800000000006
"n1";"w109";45.3600000000006
"n1";"w116";46.4700000000007
"n1";"w120";33.9800000000007
"n1";"w115";45.1300000000007
"n1";"w119";27.4800000000007
"n1";"w114";35.1700000000007
"n1";"w113";29.6900000000007
"n1";"w118";29.5800000000007
"n1";"w117";47.5400000000007
"n1";"w124";27.3899999999994
"n1";"w128";29.1699999999994
"n1";"w123";28.4399999999994
"n1";"w127";23.1699999999994
"n1";"w122";25.5299999999994
"n1";"w121";22.5599999999994
"n1";"w126";23.5099999999994
"n1";"w125";32.0099999999994
"n1";"w132";71.15
"n1";"w136";43.84
"n1";"w131";84.12
"n1";"w135";40.37
"n1";"w130";58.2
"n1";"w129";37.06
"n1";"w134";58.59
"n1";"w133";70.4
"n1";"w140";36.39
"n1";"w144";34.56
"n1";"w139";34.83
"n1";"w143";26.72
"n1";"w138";30.22
"n1";"w137";27.16
"n1";"w142";27.41
"n1";"w141";36.89
"n1";"w148";33.4599999999996
"n1";"w152";27.0999999999996
"n1";"w147";33.3499999999996
"n1";"w151";18.0299999999996
"n1";"w146";23.6299999999996
"n1";"w145";17.0899999999996
"n1";"w150";19.5499999999996
"n1";"w149";33.5899999999996
"n1";"w12";43
"n1";"w16";37.21
"n1";"w11";39.02
"n1";"w15";29.81
"n1";"w10";34.45
"n1";"w9";28.61
"n1";"w14";31.48
"n1";"w13";43.32
"n1";"w156";25.8599999999998
"n1";"w160";25.3799999999998
"n1";"w155";26.7499999999998
"n1";"w159";17.8199999999998
"n1";"w154";21.5299999999998
"n1";"w153";17.7399999999998
"n1";"w158";18.3499999999998
"n1";"w157";27.4799999999998
"n1";"w164";74.650000000001
"n1";"w168";47.990000000001
"n1";"w163";88.250000000001
"n1";"w167";45.990000000001
"n1";"w162";61.410000000001
"n1";"w161";45.010000000001
"n1";"w166";61.930000000001
"n1";"w165";73.440000000001
"n1";"w172";43.2500000000023
"n1";"w176";40.2200000000023
"n1";"w171";41.9200000000023
"n1";"w175";32.9000000000023
"n1";"w170";36.6600000000023
"n1";"w169";32.9000000000023
"n1";"w174";33.8500000000023
"n1";"w173";43.5500000000023
"n1";"w180";44.1600000000007
"n1";"w184";35.4100000000007
"n1";"w179";43.8100000000007
"n1";"w183";27.2100000000007
"n1";"w178";33.9200000000007
"n1";"w177";28.5000000000007
"n1";"w182";28.7500000000007
"n1";"w181";44.0900000000007
"n1";"w188";24.6900000000012
"n1";"w192";30.7200000000012
"n1";"w187";29.5600000000012
"n1";"w191";24.3600000000012
"n1";"w186";26.2700000000012
"n1";"w185";24.0800000000012
"n1";"w190";24.3600000000012
"n1";"w189";31.6900000000012
"n1";"w196";84.6599999999993
"n1";"w200";40.5999999999993
"n1";"w195";104.829999999999
"n1";"w199";33.9699999999993
"n1";"w194";70.4599999999993
"n1";"w193";74.7999999999993
"n1";"w198";77.7799999999993
"n1";"w197";36.2999999999993
"n1";"w204";39.3199999999999
"n1";"w208";34.0499999999999
"n1";"w203";38.1399999999999
"n1";"w207";27.4899999999999
"n1";"w202";31.4199999999999
"n1";"w201";29.4899999999999
"n1";"w206";28.7699999999999
"n1";"w205";29.6199999999999
"n1";"w212";40.989999999998
"n1";"w216";27.479999999998
"n1";"w211";43.959999999998
"n1";"w215";17.929999999998
"n1";"w210";28.169999999998
"n1";"w209";34.989999999998
"n1";"w214";24.399999999998
"n1";"w213";20.119999999998
"n1";"w220";29.9599999999984
"n1";"w224";23.0599999999984
"n1";"w219";25.8099999999984
"n1";"w223";17.2799999999984
"n1";"w218";21.7499999999984
"n1";"w217";20.3699999999984
"n1";"w222";18.1099999999984
"n1";"w221";19.2299999999984
"n1";"w228";83.1799999999997
"n1";"w232";43.1499999999997
"n1";"w227";107.54
"n1";"w231";39.5699999999997
"n1";"w226";67.1699999999997
"n1";"w225";72.8199999999997
"n1";"w230";71.8999999999997
"n1";"w229";39.4099999999997
"n1";"w20";41.2300000000001
"n1";"w24";27.06
"n1";"w19";40.5600000000001
"n1";"w23";21.56
"n1";"w18";30.78
"n1";"w17";21.47
"n1";"w22";25.25
"n1";"w21";42.8900000000001
"n1";"w236";43.8700000000031
"n1";"w240";38.5900000000031
"n1";"w235";42.7500000000031
"n1";"w239";32.8900000000031
"n1";"w234";36.4900000000031
"n1";"w233";35.3900000000031
"n1";"w238";33.5000000000031
"n1";"w237";34.9200000000031
"n1";"w244";49.0800000000013
"n1";"w248";31.9000000000013
"n1";"w243";47.6800000000013
"n1";"w247";25.3900000000013
"n1";"w242";36.4300000000013
"n1";"w241";42.4800000000013
"n1";"w246";35.5300000000013
"n1";"w245";28.0900000000013
"n1";"w252";26.0599999999985
"n1";"w256";26.8299999999985
"n1";"w251";28.1899999999985
"n1";"w255";22.5599999999985
"n1";"w250";24.5099999999985
"n1";"w249";23.7399999999985
"n1";"w254";22.4399999999985
"n1";"w253";23.8899999999985
"n1";"w260";80.5000000000006
"n1";"w264";41.8900000000006
"n1";"w259";95.5000000000006
"n1";"w263";32.5100000000006
"n1";"w258";64.5200000000006
"n1";"w257";66.8600000000006
"n1";"w262";70.7700000000006
"n1";"w261";34.9200000000006
"n1";"w268";37.0300000000004
"n1";"w272";34.1900000000004
"n1";"w267";36.0500000000004
"n1";"w271";27.5100000000004
"n1";"w266";30.6900000000004
"n1";"w265";29.3300000000004
"n1";"w270";28.3500000000004
"n1";"w269";29.3600000000004
"n1";"w276";37.8599999999981
"n1";"w280";26.2099999999981
"n1";"w275";41.7199999999981
"n1";"w279";17.2299999999981
"n1";"w274";25.1899999999981
"n1";"w273";28.3399999999981
"n1";"w278";21.1099999999981
"n1";"w277";19.5099999999981
"n1";"w284";27.2999999999988
"n1";"w288";23.3299999999988
"n1";"w283";28.3399999999988
"n1";"w287";16.7499999999988
"n1";"w282";20.8199999999988
"n1";"w281";17.7299999999988
"n1";"w286";17.5999999999988
"n1";"w285";18.8399999999988
"n1";"w292";80.9400000000004
"n1";"w296";44.8500000000004
"n1";"w291";94.8600000000004
"n1";"w295";38.6300000000004
"n1";"w290";63.2900000000004
"n1";"w289";64.4100000000004
"n1";"w294";67.5700000000004
"n1";"w293";39.3200000000004
"n1";"w300";41.3500000000012
"n1";"w304";38.4100000000012
"n1";"w299";40.3600000000012
"n1";"w303";32.7700000000012
"n1";"w298";35.7900000000012
"n1";"w297";34.0200000000012
"n1";"w302";33.3700000000012
"n1";"w301";34.5600000000012
"n1";"w308";46.3200000000022
"n1";"w312";32.5000000000022
"n1";"w307";45.5900000000022
"n1";"w311";24.9200000000022
"n1";"w306";33.4100000000022
"n1";"w305";38.9200000000022
"n1";"w310";30.9700000000022
"n1";"w309";27.3900000000022
"n1";"w28";33.34
"n1";"w32";26.75
"n1";"w27";31.74
"n1";"w31";19.85
"n1";"w26";24.99
"n1";"w25";19.83
"n1";"w30";20.6
"n1";"w29";33.87
"n1";"w316";22.7600000000006
"n1";"w320";27.3400000000006
"n1";"w315";28.7600000000006
"n1";"w319";22.8000000000006
"n1";"w314";24.2100000000006
"n1";"w313";23.4800000000006
"n1";"w318";22.9800000000006
"n1";"w317";26.3900000000006
"n1";"w324";70.8599999999956
"n1";"w328";44.9099999999956
"n1";"w323";87.5799999999956
"n1";"w327";32.3499999999956
"n1";"w322";55.0499999999956
"n1";"w321";52.3699999999956
"n1";"w326";63.2499999999956
"n1";"w325";33.5599999999956
"n1";"w332";32.4899999999994
"n1";"w336";33.0299999999994
"n1";"w331";35.8799999999994
"n1";"w335";26.0599999999994
"n1";"w330";28.8299999999994
"n1";"w329";27.4199999999994
"n1";"w334";25.8199999999994
"n1";"w333";28.1699999999994
"n1";"w340";33.37
"n1";"w344";25.75
"n1";"w339";36
"n1";"w343";16.96
"n1";"w338";22.44
"n1";"w337";23.93
"n1";"w342";18.93
"n1";"w341";25.43
"n1";"w348";21.4699999999994
"n1";"w352";23.3899999999994
"n1";"w347";25.8099999999994
"n1";"w351";16.5799999999994
"n1";"w346";18.6499999999994
"n1";"w345";17.4399999999994
"n1";"w350";17.1499999999994
"n1";"w349";18.0599999999994
"n1";"w356";73.9400000000012
"n1";"w360";50.9400000000012
"n1";"w355";86.6700000000012
"n1";"w359";38.5400000000012
"n1";"w354";57.2500000000012
"n1";"w353";61.0300000000012
"n1";"w358";64.0900000000012
"n1";"w357";39.2600000000012
