user;data;workflow;algorithm;accuracy
376.11;o1;w1;nnet;0.885508664
185.07;o2;w1;nnet;0.834938879
178.73;o3;w1;nnet;0.851088791
159.73;o4;w1;nnet;0.74614833
119.36;o5;w1;nnet;0.832547562
144.02;o6;w1;nnet;0.857253389
127;o7;w1;nnet;0.819470836
68.38;o8;w1;nnet;0.876092156
68.91;o9;w1;nnet;0.852469136
124.94;o10;w1;nnet;0.577865539
77.39;o11;w1;nnet;0.727164043
59.29;o12;w1;nnet;0.848452847
51.15;o13;w1;nnet;0.917592418
42.56;o14;w1;nnet;0.880512471
38.6;o15;w1;nnet;0.888356639
34.8;o16;w1;nnet;0.925950714
22;o17;w1;nnet;0.925390727
15.38;o18;w1;nnet;0.92969217
28.55;o19;w1;nnet;0.8489142
41.34;o20;w1;nnet;0.653891314
216.89;o21;w1;nnet;0.879293405
94.77;o22;w1;nnet;0.571041172
51.09;n1;w1;nnet;0.975725928
72.25;n2;w1;nnet;0.928185927
120.06;n3;w1;nnet;0.712457707
44.52;n4;w1;nnet;0.883541789
32.15;n5;w1;nnet;0.859130606
59.94;n6;w1;nnet;0.625235763
43.25;n7;w1;nnet;0.952619602
41.72;n8;w1;nnet;0.979303112
36.19;n9;w1;nnet;0.922835024
71.95;n10;w1;nnet;0.951578947
145.57;n11;w1;nnet;0.829705656
59.59;n12;w1;nnet;0.9691874
60.52;n13;w1;nnet;0.979304101
34.46;n14;w1;nnet;0.936055851
48.25;n15;w1;nnet;0.979323932
40.88;n16;w1;nnet;0.98094764
35.97;n17;w1;nnet;0.966941533
35.74;n18;w1;nnet;0.977657691
106.28;n19;w1;nnet;0.78430276
89.02;n20;w1;nnet;0.828587426
50.03;n21;w1;nnet;0.964878488
109.17;n22;w1;nnet;0.749407302
38.17;n23;w1;nnet;0.985342526
46;r1;w1;nnet;0.97666989
14.49;r2;w1;nnet;0.991436595
40.71;r3;w1;nnet;0.905310759
14.09;r4;w1;nnet;0.879630442
30.52;r5;w1;nnet;0.781158452
687.27;o1;w2;J48;0.901922797
320.06;o2;w2;J48;0.880868627
267.39;o3;w2;J48;0.82458255
153.37;o4;w2;J48;0.772082695
150.54;o5;w2;J48;0.84222823
130.27;o6;w2;J48;0.874679493
172.27;o7;w2;J48;0.80955585
93.13;o8;w2;J48;0.862461663
85.08;o9;w2;J48;0.839506173
191.33;o10;w2;J48;0.729767575
101.93;o11;w2;J48;0.73505313
64.62;o12;w2;J48;0.814954083
59.29;o13;w2;J48;0.887454497
52.58;o14;w2;J48;0.845951506
43.14;o15;w2;J48;0.867946144
39.26;o16;w2;J48;0.885453885
25.22;o17;w2;J48;0.855585319
24.43;o18;w2;J48;0.821621954
24.54;o19;w2;J48;0.797402883
39.68;o20;w2;J48;0.722382583
249.08;o21;w2;J48;0.855878482
119.71;o22;w2;J48;0.744771783
75.8;n1;w2;J48;0.873600282
91.67;n2;w2;J48;0.878067023
150;n3;w2;J48;0.73020991
45.63;n4;w2;J48;0.808471714
39.23;n5;w2;J48;0.804105297
65.82;n6;w2;J48;0.741975209
43.59;n7;w2;J48;0.894040692
74.86;n8;w2;J48;0.911155914
60.34;n9;w2;J48;0.806843412
96.32;n10;w2;J48;0.868421053
225.67;n11;w2;J48;0.812946644
136.73;n12;w2;J48;0.895130338
76.42;n13;w2;J48;0.901543456
53.33;n14;w2;J48;0.860530116
64.17;n15;w2;J48;0.900512092
67.14;n16;w2;J48;0.912705305
61.6;n17;w2;J48;0.908959855
43.3;n18;w2;J48;0.89891691
148.46;n19;w2;J48;0.846588954
104.9;n20;w2;J48;0.845950923
70.5;n21;w2;J48;0.867561201
148.67;n22;w2;J48;0.780467867
47.12;n23;w2;J48;0.915466654
46.98;r1;w2;J48;0.954303064
20.8;r2;w2;J48;0.978546705
29.86;r3;w2;J48;0.931496146
12.58;r4;w2;J48;0.844081332
23.19;r5;w2;J48;0.849439495
1124.83;o1;w3;JRip;0.914554759
313.57;o2;w3;JRip;0.884312202
279.98;o3;w3;JRip;0.756545865
235.69;o4;w3;JRip;0.775590708
187.57;o5;w3;JRip;0.842033259
239.16;o6;w3;JRip;0.861753062
205.76;o7;w3;JRip;0.797846579
123.42;o8;w3;JRip;0.869121726
106.75;o9;w3;JRip;0.786111111
249.91;o10;w3;JRip;0.727123975
123.47;o11;w3;JRip;0.709863349
75.64;o12;w3;JRip;0.873787023
78.63;o13;w3;JRip;0.849348836
69.5;o14;w3;JRip;0.844521177
60.87;o15;w3;JRip;0.878693064
66.55;o16;w3;JRip;0.815173258
29.89;o17;w3;JRip;0.882724817
28.73;o18;w3;JRip;0.803769206
32.98;o19;w3;JRip;0.829545871
55.34;o20;w3;JRip;0.758051709
474.19;o21;w3;JRip;0.842617936
191.82;o22;w3;JRip;0.752981147
89.98;n1;w3;JRip;0.865144174
119.7;n2;w3;JRip;0.875833648
223.89;n3;w3;JRip;0.65883202
57.86;n4;w3;JRip;0.76913898
48.4;n5;w3;JRip;0.758856821
117.19;n6;w3;JRip;0.665180801
61.67;n7;w3;JRip;0.861447899
98.16;n8;w3;JRip;0.858154122
71.95;n9;w3;JRip;0.729153625
111.13;n10;w3;JRip;0.877368421
352.71;n11;w3;JRip;0.646477777
162.83;n12;w3;JRip;0.798375221
110.63;n13;w3;JRip;0.836477391
77.03;n14;w3;JRip;0.830810468
94.42;n15;w3;JRip;0.865298349
88.35;n16;w3;JRip;0.850649351
83.4;n17;w3;JRip;0.90387131
66.45;n18;w3;JRip;0.871003755
221.33;n19;w3;JRip;0.745039703
182.06;n20;w3;JRip;0.800385683
103.55;n21;w3;JRip;0.755129199
212.25;n22;w3;JRip;0.672066145
57;n23;w3;JRip;0.913186376
112.09;r1;w3;JRip;0.949959331
20.92;r2;w3;JRip;0.961428012
36.49;r3;w3;JRip;0.935544598
13.73;r4;w3;JRip;0.870626775
30.98;r5;w3;JRip;0.850550608
4608.75;o1;w4;knn;0.827017546
1227.31;o2;w4;knn;0.762022549
833.02;o3;w4;knn;0.662180982
602.59;o4;w4;knn;0.689998547
583.42;o5;w4;knn;0.754447891
617.96;o6;w4;knn;0.728217523
446.4;o7;w4;knn;0.715793264
216.99;o8;w4;knn;0.745836085
198.56;o9;w4;knn;0.733641975
523.33;o10;w4;knn;0.570559216
217.35;o11;w4;knn;0.639451038
120.29;o12;w4;knn;0.752019473
100.91;o13;w4;knn;0.814796335
78.51;o14;w4;knn;0.766778546
61.52;o15;w4;knn;0.754162629
43.79;o16;w4;knn;0.744352654
16.5;o17;w4;knn;0.727752265
13.4;o18;w4;knn;0.725084385
13.89;o19;w4;knn;0.693467774
36.69;o20;w4;knn;0.624386572
922.09;o21;w4;knn;0.647736334
264.35;o22;w4;knn;0.656484604
81.93;n1;w4;knn;0.852126301
104.88;n2;w4;knn;0.755509134
202.26;n3;w4;knn;0.66746478
75.14;n4;w4;knn;0.759441939
61.12;n5;w4;knn;0.708485436
146.58;n6;w4;knn;0.613992761
70.73;n7;w4;knn;0.808972734
111.71;n8;w4;knn;0.845512586
80.78;n9;w4;knn;0.746561078
112.22;n10;w4;knn;0.813684211
294.4;n11;w4;knn;0.767234079
137.74;n12;w4;knn;0.857824231
107.25;n13;w4;knn;0.799590244
87.5;n14;w4;knn;0.763846182
81.75;n15;w4;knn;0.840124232
67.08;n16;w4;knn;0.829754239
92.26;n17;w4;knn;0.854568203
71.46;n18;w4;knn;0.838007214
234.57;n19;w4;knn;0.786460515
181.28;n20;w4;knn;0.755611726
97.39;n21;w4;knn;0.812839154
254.43;n22;w4;knn;0.719006912
66.54;n23;w4;knn;0.870931169
373.86;r1;w4;knn;0.93499649
8.61;r2;w4;knn;0.932806669
18.2;r3;w4;knn;0.897274582
4.03;r4;w4;knn;0.824576537
12.7;r5;w4;knn;0.805590277
491.56;o1;w5;C5.0Tree;0.913428323
243.96;o2;w5;C5.0Tree;0.896943672
229.47;o3;w5;C5.0Tree;0.843489721
162.92;o4;w5;C5.0Tree;0.813416749
168.72;o5;w5;C5.0Tree;0.864571659
160.7;o6;w5;C5.0Tree;0.878792226
157.19;o7;w5;C5.0Tree;0.840209849
104.06;o8;w5;C5.0Tree;0.888817595
100;o9;w5;C5.0Tree;0.87037037
174.07;o10;w5;C5.0Tree;0.753354403
107.91;o11;w5;C5.0Tree;0.76176285
79.78;o12;w5;C5.0Tree;0.858663273
73.07;o13;w5;C5.0Tree;0.884794922
64.09;o14;w5;C5.0Tree;0.852203327
56.48;o15;w5;C5.0Tree;0.882435738
50.95;o16;w5;C5.0Tree;0.887985523
31.67;o17;w5;C5.0Tree;0.853639823
30.19;o18;w5;C5.0Tree;0.815315038
30.25;o19;w5;C5.0Tree;0.799576318
47.28;o20;w5;C5.0Tree;0.72375621
219.08;o21;w5;C5.0Tree;0.871928807
123.65;o22;w5;C5.0Tree;0.75722515
79.86;n1;w5;C5.0Tree;0.875860178
94.33;n2;w5;C5.0Tree;0.881415232
133.49;n3;w5;C5.0Tree;0.729800089
63.37;n4;w5;C5.0Tree;0.820203333
54.42;n5;w5;C5.0Tree;0.785585723
85.2;n6;w5;C5.0Tree;0.745731107
61.42;n7;w5;C5.0Tree;0.883850118
87.41;n8;w5;C5.0Tree;0.901566064
72.42;n9;w5;C5.0Tree;0.799690121
100.2;n10;w5;C5.0Tree;0.874210526
185.07;n11;w5;C5.0Tree;0.815613167
118.45;n12;w5;C5.0Tree;0.886485185
85.54;n13;w5;C5.0Tree;0.895482817
68.69;n14;w5;C5.0Tree;0.860525045
75.44;n15;w5;C5.0Tree;0.902181195
73.38;n16;w5;C5.0Tree;0.9077913
73.91;n17;w5;C5.0Tree;0.912525044
59.2;n18;w5;C5.0Tree;0.902992303
141.85;n19;w5;C5.0Tree;0.84334947
115.97;n20;w5;C5.0Tree;0.845181703
80.86;n21;w5;C5.0Tree;0.848489886
143.45;n22;w5;C5.0Tree;0.783170113
61.55;n23;w5;C5.0Tree;0.914901044
86.09;r1;w5;C5.0Tree;0.953820852
24.51;r2;w5;C5.0Tree;0.969991323
35.33;r3;w5;C5.0Tree;0.934516291
15.69;r4;w5;C5.0Tree;0.840547897
29;r5;w5;C5.0Tree;0.848308273
