"data";"pstrat";"user.y";"workflow";"user.x";"no.terms";"accuracy";"algorithm"
"n1";"p1";81.93;"w4";3.97999999999999;1946;0.852126301;"knn"
"n1";"p1";36.81;"w8";3.97999999999999;1946;0.960511768;"ranger"
"n1";"p1";89.98;"w3";3.97999999999999;1946;0.865144174;"JRip"
"n1";"p1";42.62;"w7";3.97999999999999;1946;0.972356481;"svmLinear2"
"n1";"p1";75.8;"w2";3.97999999999999;1946;0.873600282;"J48"
"n1";"p1";51.09;"w1";3.97999999999999;1946;0.975725928;"nnet"
"n1";"p1";73.87;"w6";3.97999999999999;1946;0.810603398;"lda"
"n1";"p1";79.86;"w5";3.97999999999999;1946;0.875860178;"C5.0Tree"
"n1";"p10";17.87;"w76";22.3599999999997;458;0.93680207;"knn"
"n1";"p10";13.52;"w80";22.3599999999997;458;0.963332191;"ranger"
"n1";"p10";14.78;"w75";22.3599999999997;458;0.891107406;"JRip"
"n1";"p10";5.73;"w79";22.3599999999997;458;0.957674829;"svmLinear2"
"n1";"p10";9.83;"w74";22.3599999999997;458;0.884327765;"J48"
"n1";"p10";5.56;"w73";22.3599999999997;458;0.965572975;"nnet"
"n1";"p10";6.6;"w78";22.3599999999997;458;0.945832681;"lda"
"n1";"p10";17.64;"w77";22.3599999999997;458;0.8860093;"C5.0Tree"
"n1";"p11";32.82;"w84";5.34000000000015;855;0.854393846;"knn"
"n1";"p11";21.95;"w88";5.34000000000015;855;0.965020103;"ranger"
"n1";"p11";30.11;"w83";5.34000000000015;855;0.883207989;"JRip"
"n1";"p11";14.45;"w87";5.34000000000015;855;0.949204699;"svmLinear2"
"n1";"p11";21.71;"w82";5.34000000000015;855;0.865717434;"J48"
"n1";"p11";15.15;"w81";5.34000000000015;855;0.9587933;"nnet"
"n1";"p11";16.78;"w86";5.34000000000015;855;0.887683214;"lda"
"n1";"p11";34.22;"w85";5.34000000000015;855;0.864570914;"C5.0Tree"
"n1";"p12";18.22;"w92";11.5399999999991;467;0.903487185;"knn"
"n1";"p12";13.74;"w96";11.5399999999991;467;0.965584432;"ranger"
"n1";"p12";18.35;"w91";11.5399999999991;467;0.892238651;"JRip"
"n1";"p12";6.36;"w95";11.5399999999991;467;0.955983097;"svmLinear2"
"n1";"p12";10.95;"w90";11.5399999999991;467;0.86966014;"J48"
"n1";"p12";6.05;"w89";11.5399999999991;467;0.968395934;"nnet"
"n1";"p12";6.92;"w94";11.5399999999991;467;0.954846797;"lda"
"n1";"p12";18.03;"w93";11.5399999999991;467;0.875294561;"C5.0Tree"
"n1";"p13";67.09;"w100";13.1599999999999;1655;0.85832761;"knn"
"n1";"p13";32.89;"w104";13.1599999999999;1655;0.967843045;"ranger"
"n1";"p13";69.95;"w99";13.1599999999999;1655;0.883206775;"JRip"
"n1";"p13";35.89;"w103";13.1599999999999;1655;0.974611269;"svmLinear2"
"n1";"p13";54.64;"w98";13.1599999999999;1655;0.904050202;"J48"
"n1";"p13";35.18;"w97";13.1599999999999;1655;0.979683921;"nnet"
"n1";"p13";58.89;"w102";13.1599999999999;1655;0.817921964;"lda"
"n1";"p13";65.27;"w101";13.1599999999999;1655;0.903479513;"C5.0Tree"
"n1";"p14";17.61;"w108";28.1100000000006;450;0.918729312;"knn"
"n1";"p14";12.53;"w112";28.1100000000006;450;0.965023928;"ranger"
"n1";"p14";15.11;"w107";28.1100000000006;450;0.888265365;"JRip"
"n1";"p14";5.67;"w111";28.1100000000006;450;0.960504142;"svmLinear2"
"n1";"p14";9.88;"w106";28.1100000000006;450;0.909698667;"J48"
"n1";"p14";5.65;"w105";28.1100000000006;450;0.968983175;"nnet"
"n1";"p14";6.47;"w110";28.1100000000006;450;0.95317033;"lda"
"n1";"p14";17.25;"w109";28.1100000000006;450;0.913652848;"C5.0Tree"
"n1";"p15";33.94;"w116";12.5300000000007;885;0.86172893;"knn"
"n1";"p15";21.45;"w120";12.5300000000007;885;0.967839226;"ranger"
"n1";"p15";32.6;"w115";12.5300000000007;885;0.880922644;"JRip"
"n1";"p15";14.95;"w119";12.5300000000007;885;0.948646737;"svmLinear2"
"n1";"p15";22.64;"w114";12.5300000000007;885;0.902357188;"J48"
"n1";"p15";17.16;"w113";12.5300000000007;885;0.959375491;"nnet"
"n1";"p15";17.05;"w118";12.5300000000007;885;0.895613188;"lda"
"n1";"p15";35.01;"w117";12.5300000000007;885;0.901789052;"C5.0Tree"
"n1";"p16";8.25;"w124";19.1399999999994;319;0.913678331;"knn"
"n1";"p16";10.03;"w128";19.1399999999994;319;0.961069759;"ranger"
"n1";"p16";9.3;"w123";19.1399999999994;319;0.883746851;"JRip"
"n1";"p16";4.03;"w127";19.1399999999994;319;0.93962117;"svmLinear2"
"n1";"p16";6.39;"w122";19.1399999999994;319;0.906320294;"J48"
"n1";"p16";3.42;"w121";19.1399999999994;319;0.955998378;"nnet"
"n1";"p16";4.37;"w126";19.1399999999994;319;0.955994548;"lda"
"n1";"p16";12.87;"w125";19.1399999999994;319;0.913651565;"C5.0Tree"
"n1";"p17";63.15;"w132";8;1578;0.848739003;"knn"
"n1";"p17";35.84;"w136";8;1578;0.970659625;"ranger"
"n1";"p17";76.12;"w131";8;1578;0.876991417;"JRip"
"n1";"p17";32.37;"w135";8;1578;0.964444307;"svmLinear2"
"n1";"p17";50.2;"w130";8;1578;0.892216992;"J48"
"n1";"p17";29.06;"w129";8;1578;0.971790853;"nnet"
"n1";"p17";50.59;"w134";8;1578;0.758585206;"lda"
"n1";"p17";62.4;"w133";8;1578;0.892772389;"C5.0Tree"
"n1";"p18";14.39;"w140";22;387;0.93284789;"knn"
"n1";"p18";12.56;"w144";22;387;0.966714377;"ranger"
"n1";"p18";12.83;"w139";22;387;0.884903544;"JRip"
"n1";"p18";4.72;"w143";22;387;0.955403459;"svmLinear2"
"n1";"p18";8.22;"w138";22;387;0.900679467;"J48"
"n1";"p18";5.16;"w137";22;387;0.966141128;"nnet"
"n1";"p18";5.41;"w142";22;387;0.940747296;"lda"
"n1";"p18";14.89;"w141";22;387;0.899555877;"C5.0Tree"
"n1";"p19";25.48;"w148";7.97999999999956;662;0.858905954;"knn"
"n1";"p19";19.12;"w152";7.97999999999956;662;0.966143664;"ranger"
"n1";"p19";25.37;"w147";7.97999999999956;662;0.879255096;"JRip"
"n1";"p19";10.05;"w151";7.97999999999956;662;0.93735366;"svmLinear2"
"n1";"p19";15.65;"w146";7.97999999999956;662;0.890525255;"J48"
"n1";"p19";9.11;"w145";7.97999999999956;662;0.960506673;"nnet"
"n1";"p19";11.57;"w150";7.97999999999956;662;0.923233805;"lda"
"n1";"p19";25.61;"w149";7.97999999999956;662;0.893909977;"C5.0Tree"
"n1";"p2";20.11;"w12";22.89;518;0.943565194;"knn"
"n1";"p2";14.32;"w16";22.89;518;0.958817501;"ranger"
"n1";"p2";16.13;"w11";22.89;518;0.865693232;"JRip"
"n1";"p2";6.92;"w15";22.89;518;0.967830317;"svmLinear2"
"n1";"p2";11.56;"w10";22.89;518;0.882627114;"J48"
"n1";"p2";5.72;"w9";22.89;518;0.96896407;"nnet"
"n1";"p2";8.59;"w14";22.89;518;0.944126934;"lda"
"n1";"p2";20.43;"w13";22.89;518;0.874153154;"C5.0Tree"
"n1";"p20";12.62;"w156";13.2399999999998;364;0.914784081;"knn"
"n1";"p20";12.14;"w160";13.2399999999998;364;0.965021363;"ranger"
"n1";"p20";13.51;"w155";13.2399999999998;364;0.884890828;"JRip"
"n1";"p20";4.58;"w159";13.2399999999998;364;0.945808491;"svmLinear2"
"n1";"p20";8.29;"w154";13.2399999999998;364;0.901246366;"J48"
"n1";"p20";4.5;"w153";13.2399999999998;364;0.964441742;"nnet"
"n1";"p20";5.11;"w158";13.2399999999998;364;0.954290112;"lda"
"n1";"p20";14.24;"w157";13.2399999999998;364;0.897855243;"C5.0Tree"
"n1";"p21";59.02;"w164";15.630000000001;1483;0.856080453;"knn"
"n1";"p21";32.36;"w168";15.630000000001;1483;0.971788294;"ranger"
"n1";"p21";72.62;"w163";15.630000000001;1483;0.886574888;"JRip"
"n1";"p21";30.36;"w167";15.630000000001;1483;0.967834136;"svmLinear2"
"n1";"p21";45.78;"w162";15.630000000001;1483;0.911385268;"J48"
"n1";"p21";29.38;"w161";15.630000000001;1483;0.971789611;"nnet"
"n1";"p21";46.3;"w166";15.630000000001;1483;0.756369952;"lda"
"n1";"p21";57.81;"w165";15.630000000001;1483;0.910259142;"C5.0Tree"
