Task_id,Best_acc,Best_time
2,0.98772790000,160
3,0.99655662200,330
6,0.96530000000,16700
11,0.95665642600,100
12,0.98200000000,1840
14,0.86200000000,3380
15,0.97138720000,20
16,0.96900000000,1190
18,0.74950000000,430
20,0.98100000000,31600
21,0.99537236200,640
22,0.83750000000,1130
23,0.56820200000,250
24,1.00000000000,100
26,1.00000000000,52340
28,0.98896797200,3080
29,0.87101449300,30
30,0.97624670000,2090
31,0.76900000000,60
32,0.99554231100,3740
33,0.84814800000,60
36,0.98571430000,54750
37,0.77995557100,190
41,0.94742090000,430
43,0.95653682900,1620
45,0.96583072100,102870
49,0.99791666700,2020
53,0.84275910400,500
58,0.87040000000,13880
219,0.93743390000,29870
2068,0.99532710300,20
2073,0.62934427700,420
2074,0.91664080000,6570
2075,0.27076233700,12570
2076,0.81864771600,2913870
2077,0.94328358200,3430
2079,0.66171790000,4740
