"p_id";"repr";"stop";"stem";"spar";"info"
"p1";"tf_idf";"none";"none";0.99;"none"
"p2";"tf_idf";"none";"none";0.99;">0"
"p3";"tf_idf";"none";"none";0.98;"none"
"p4";"tf_idf";"none";"none";0.98;">0"
"p5";"tf_idf";"none";"simple";0.99;"none"
"p6";"tf_idf";"none";"simple";0.99;">0"
"p7";"tf_idf";"none";"simple";0.98;"none"
"p8";"tf_idf";"none";"simple";0.98;">0"
"p9";"tf_idf";"default";"none";0.99;"none"
"p10";"tf_idf";"default";"none";0.99;">0"
"p11";"tf_idf";"default";"none";0.98;"none"
"p12";"tf_idf";"default";"none";0.98;">0"
"p13";"tf_idf";"default";"simple";0.99;"none"
"p14";"tf_idf";"default";"simple";0.99;">0"
"p15";"tf_idf";"default";"simple";0.98;"none"
"p16";"tf_idf";"default";"simple";0.98;">0"
"p17";"tf_idf";"smart";"none";0.99;"none"
"p18";"tf_idf";"smart";"none";0.99;">0"
"p19";"tf_idf";"smart";"none";0.98;"none"
"p20";"tf_idf";"smart";"none";0.98;">0"
"p21";"tf_idf";"smart";"simple";0.99;"none"
"p22";"tf_idf";"smart";"simple";0.99;">0"
"p23";"tf_idf";"smart";"simple";0.98;"none"
"p24";"tf_idf";"smart";"simple";0.98;">0"
"p25";"freq";"none";"none";0.99;"none"
"p26";"freq";"none";"none";0.99;">0"
"p27";"freq";"none";"none";0.98;"none"
"p28";"freq";"none";"none";0.98;">0"
"p29";"freq";"none";"simple";0.99;"none"
"p30";"freq";"none";"simple";0.99;">0"
"p31";"freq";"none";"simple";0.98;"none"
"p32";"freq";"none";"simple";0.98;">0"
"p33";"freq";"default";"none";0.99;"none"
"p34";"freq";"default";"none";0.99;">0"
"p35";"freq";"default";"none";0.98;"none"
"p36";"freq";"default";"none";0.98;">0"
"p37";"freq";"default";"simple";0.99;"none"
"p38";"freq";"default";"simple";0.99;">0"
"p39";"freq";"default";"simple";0.98;"none"
"p40";"freq";"default";"simple";0.98;">0"
"p41";"freq";"smart";"none";0.99;"none"
"p42";"freq";"smart";"none";0.99;">0"
"p43";"freq";"smart";"none";0.98;"none"
"p44";"freq";"smart";"none";0.98;">0"
"p45";"freq";"smart";"simple";0.99;"none"
"p46";"freq";"smart";"simple";0.99;">0"
"p47";"freq";"smart";"simple";0.98;"none"
"p48";"freq";"smart";"simple";0.98;">0"
