w_id;repr;stop;stem;spar;info;algo
w1;tf_idf;none;none;0.99;none;nnet
w2;tf_idf;none;none;0.99;none;J48
w3;tf_idf;none;none;0.99;none;JRip
w4;tf_idf;none;none;0.99;none;knn
w5;tf_idf;none;none;0.99;none;C5.0Tree
w6;tf_idf;none;none;0.99;none;lda
w7;tf_idf;none;none;0.99;none;svmLinear2
w8;tf_idf;none;none;0.99;none;ranger
w9;tf_idf;none;none;0.99;>0;nnet
w10;tf_idf;none;none;0.99;>0;J48
w11;tf_idf;none;none;0.99;>0;JRip
w12;tf_idf;none;none;0.99;>0;knn
w13;tf_idf;none;none;0.99;>0;C5.0Tree
w14;tf_idf;none;none;0.99;>0;lda
w15;tf_idf;none;none;0.99;>0;svmLinear2
w16;tf_idf;none;none;0.99;>0;ranger
w17;tf_idf;none;none;0.98;none;nnet
w18;tf_idf;none;none;0.98;none;J48
w19;tf_idf;none;none;0.98;none;JRip
w20;tf_idf;none;none;0.98;none;knn
w21;tf_idf;none;none;0.98;none;C5.0Tree
w22;tf_idf;none;none;0.98;none;lda
w23;tf_idf;none;none;0.98;none;svmLinear2
w24;tf_idf;none;none;0.98;none;ranger
w25;tf_idf;none;none;0.98;>0;nnet
w26;tf_idf;none;none;0.98;>0;J48
w27;tf_idf;none;none;0.98;>0;JRip
w28;tf_idf;none;none;0.98;>0;knn
w29;tf_idf;none;none;0.98;>0;C5.0Tree
w30;tf_idf;none;none;0.98;>0;lda
w31;tf_idf;none;none;0.98;>0;svmLinear2
w32;tf_idf;none;none;0.98;>0;ranger
w33;tf_idf;none;simple;0.99;none;nnet
w34;tf_idf;none;simple;0.99;none;J48
w35;tf_idf;none;simple;0.99;none;JRip
w36;tf_idf;none;simple;0.99;none;knn
w37;tf_idf;none;simple;0.99;none;C5.0Tree
w38;tf_idf;none;simple;0.99;none;lda
w39;tf_idf;none;simple;0.99;none;svmLinear2
w40;tf_idf;none;simple;0.99;none;ranger
w41;tf_idf;none;simple;0.99;>0;nnet
w42;tf_idf;none;simple;0.99;>0;J48
w43;tf_idf;none;simple;0.99;>0;JRip
w44;tf_idf;none;simple;0.99;>0;knn
w45;tf_idf;none;simple;0.99;>0;C5.0Tree
w46;tf_idf;none;simple;0.99;>0;lda
w47;tf_idf;none;simple;0.99;>0;svmLinear2
w48;tf_idf;none;simple;0.99;>0;ranger
