"data";"mean";"sd";"min";"max";"median"
"1";"n1";0.912842106851563;0.0506828494398364;0.605558805;0.980817691;0.9108247845
"2";"n10";0.899965734658854;0.0540462305667061;0.660526316;0.965789474;0.902105263
"3";"n11";0.782752518763021;0.0802734042047974;0.455622146;0.909715842;0.804949106
"4";"n12";0.89706692071875;0.0731437814250966;0.521093377;0.977297271;0.9026955765
"5";"n13";0.914760291901042;0.0588303774943857;0.582036297;0.986876808;0.9124158195
"6";"n14";0.88016898221875;0.0584158366139064;0.546317218;0.951151465;0.887970971
"7";"n15";0.917264583710938;0.0494384998952245;0.623889359;0.982673389;0.92007088
"8";"n16";0.917576084877604;0.0560401002273958;0.653328149;0.987093172;0.925317867
"9";"n17";0.913602446419271;0.0589868338423653;0.572750567;0.976599109;0.922941711
"10";"n18";0.907684539210938;0.0493285793730214;0.621136173;0.977657691;0.904010627
"11";"n19";0.833156727473958;0.0781126190053439;0.45085315;0.945264135;0.844974136
"12";"n2";0.881540817289063;0.0556406452126295;0.615255208;0.950450284;0.893093675
"13";"n20";0.834625742416667;0.0684643698296121;0.498081721;0.932432094;0.8432482185
"14";"n21";0.882025678289062;0.0650066063136048;0.542431412;0.976917642;0.8785797365
"15";"n22";0.789457527455729;0.0762099125592693;0.536372506;0.922319637;0.79263436
"16";"n23";0.929178643960937;0.050797581960361;0.587374139;0.986478843;0.931234968
"17";"n3";0.723743551372396;0.0730319589214834;0.374574331;0.842826344;0.7353683935
"18";"n4";0.810840102570312;0.053156934266229;0.503076856;0.910101666;0.8181562605
"19";"n5";0.81162179984375;0.0461026939282645;0.636528126;0.899218149;0.8082199955
"20";"n6";0.730958199742187;0.0664023598394739;0.503435336;0.859386998;0.7394128015
"21";"n7";0.889821969234375;0.0497132112663276;0.615906729;0.959248098;0.8899710085
"22";"n8";0.912496611138021;0.0614409322482584;0.559329179;0.981827346;0.9184837285
"23";"n9";0.819845361802083;0.0607198821503946;0.520193231;0.922835024;0.8157850255
"24";"o1";0.905289477627604;0.0360300619948113;0.745112181;0.938772374;0.917048376
"25";"o10";0.714449614122396;0.0748807174131374;0.472750997;0.816183592;0.7369846755
"26";"o11";0.748513333947917;0.0486012113361879;0.586344212;0.826100564;0.7590307925
"27";"o12";0.845725105325521;0.0478561066847554;0.662985748;0.905227308;0.8623347435
"28";"o13";0.885052905872396;0.044554623386829;0.688078202;0.941958514;0.8963197455
"29";"o14";0.851190060851562;0.0511973426180501;0.64487887;0.921779344;0.8601240335
"30";"o15";0.866571794098958;0.0579207495373521;0.527636255;0.92378167;0.882717823
"31";"o16";0.874896767830729;0.0627660795643766;0.569660599;0.942412884;0.889558954
"32";"o17";0.878462279703125;0.0628583532629607;0.566766948;0.9447407;0.890467402
"33";"o18";0.855387819015625;0.0592635987708307;0.558225801;0.943343237;0.8635706375
"34";"o19";0.820630342846354;0.0609417331584005;0.547733025;0.888517479;0.837065772
"35";"o2";0.868200331908854;0.0437983039237434;0.693124918;0.907851334;0.8879006915
"36";"o20";0.747306713242188;0.0831432846379618;0.442781876;0.869776456;0.7683228585
"37";"o21";0.861623885763021;0.0496965072115308;0.647736334;0.921716229;0.872012169
"38";"o22";0.734480172945312;0.0744155749027091;0.507917271;0.840409661;0.755103309
"39";"o3";0.834801349885417;0.0535391254347767;0.655576948;0.904103555;0.849991845
"40";"o4";0.793448784989583;0.0508744852547658;0.597193225;0.865080441;0.806884596
"41";"o5";0.853241401755208;0.0478216511257982;0.641954927;0.912020001;0.8647693655
"42";"o6";0.873884011411458;0.0518469474420646;0.659096279;0.940865242;0.884177242
"43";"o7";0.821704621244792;0.0418861290346062;0.676811218;0.890469214;0.8299485875
"44";"o8";0.882632117171875;0.0475630462599188;0.684940568;0.942437083;0.8933623155
"45";"o9";0.847393422072917;0.0468895703971646;0.655864198;0.912962963;0.858950617
"46";"r1";0.962362078966146;0.0170948130896396;0.843462149;0.984393141;0.9621887435
"47";"r2";0.959449562197917;0.0667090288258738;0.618581225;0.998571429;0.974317902
"48";"r3";0.899088720911458;0.112924985370091;0.465264283;0.986907307;0.935546622
"49";"r4";0.853442073085938;0.0408862011968722;0.661325934;0.914929114;0.861711225
"50";"r5";0.821934992822917;0.0839517190282544;0.485370027;0.925865757;0.8427078295
