"data";"mean";"sd";"min";"max";"median"
"1";"n1";38.7567708333333;18.4285414489835;16.58;107.54;33.59
"2";"n10";46.2777864583333;24.0771536303863;18.16;124.03;38.115
"3";"n11";109.603828125;73.6264305950929;32.6;459.17;82.58
"4";"n12";60.1418229166667;31.9546481385802;23.57;181.71;49.675
"5";"n13";41.9292708333333;23.7825726723036;15.11;130.89;34
"6";"n14";32.6671875;17.773514484605;10.71;91.67;27.975
"7";"n15";37.9159114583333;19.0808816925336;15.1;110.36;32.345
"8";"n16";35.6004947916667;16.5287046625689;15.44;93.69;31.285
"9";"n17";40.32390625;17.4379079083746;16.16;95.95;36.175
"10";"n18";33.376484375;14.387082576025;13.26;78.78;31.015
"11";"n19";81.8722135416667;46.3431666944004;25.49;267.95;67.96
"12";"n2";44.5397395833333;25.0526985967902;16.09;130.91;35.89
"13";"n20";67.6729427083333;37.2704953963332;21.17;204.2;57.145
"14";"n21";39.8233333333333;21.4123698500087;13.03;114.21;33.37
"15";"n22";79.9655208333333;54.3187769249361;21.02;278.38;62.47
"16";"n23";32.4296354166667;12.8133258543197;12.64;71.51;29.585
"17";"n3";70.7409635416667;49.9378876593047;19.5;263.68;50.465
"18";"n4";31.873359375;15.5649218965586;11.35;79.79;26.98
"19";"n5";25.6917708333333;12.6871070218715;9.37;64.25;20.71
"20";"n6";49.666171875;30.2220872610455;14.48;159.97;39.3
"21";"n7";31.8309895833333;13.6442456643538;12.52;75.79;29.46
"22";"n8";43.2311197916667;21.2399951455257;16.38;115.78;37.175
"23";"n9";32.827734375;17.3868244531983;10.74;91.06;26.705
"24";"o1";654.040390625;784.122172658661;69.18;4632.06;326.93
"25";"o10";116.600026041667;107.441758629447;20.22;530.3;75.05
"26";"o11";61.34078125;54.3267098636572;13.88;311.94;37.865
"27";"o12";37.95859375;21.8400198237642;12.24;123.93;30.32
"28";"o13";35.0570052083333;18.6856348152547;11.8;104.19;28.585
"29";"o14";29.60859375;16.3235537298834;10.19;81.43;23.29
"30";"o15";26.0634114583333;13.3957684202573;9.93;70.37;20.92
"31";"o16";23.4611197916667;11.8071072124855;8.58;68.86;19.06
"32";"o17";14.0046354166667;5.69677751173134;6.41;33.98;12.525
"33";"o18";12.628671875;5.46966140465834;5.62;32.39;11.28
"34";"o19";13.7100260416667;5.77013389524306;6.46;34.45;12.21
"35";"o2";203.657734375;206.724193998063;31.42;1237.87;133.015
"36";"o20";22.6128645833333;11.3269892170483;8;62.57;18.665
"37";"o21";164.22015625;157.808339905021;28.57;931.37;108.3
"38";"o22";73.8303385416667;50.5303971038995;17.4;269.62;61.885
"39";"o3";151.087473958333;144.971289058575;25.56;842.28;97.72
"40";"o4";118.590755208333;119.07355068965;23.13;610.22;69.47
"41";"o5";105.69875;98.4576667323637;22.66;590.94;70.23
"42";"o6";101.876770833333;102.492578703456;21.68;625.46;62.43
"43";"o7";98.7583333333333;80.3511549880892;21.23;453.15;72.435
"44";"o8";54.70859375;37.8618774022022;14.93;221.63;43.765
"45";"o9";51.516015625;34.8496482971231;14.94;203.05;39.57
"46";"r1";66.3235677083333;63.7679991978969;17.84;380;48.585
"47";"r2";10.848515625;3.82656935634515;5.18;25.56;10.205
"48";"r3";16.7285416666667;7.06830877865607;7.85;52.58;15.225
"49";"r4";7.11583333333333;2.60892109455858;3.23;19.57;6.605
"50";"r5";13.7375520833333;5.44932297492163;6.77;40;12.515
