"workflow";"mean";"sd";"min";"max";"median"
"1";"w4";304.558;676.070571588016;4.73;4632.06;110.25
"2";"w8";79.6558;79.0788094139418;6.21;451.8;48.835
"3";"w3";152.4456;173.36592610818;14.43;1148.14;104.785
"4";"w7";125.3214;215.08182361376;7.34;1494.4;56.505
"5";"w2";109.215;111.716569564707;13.28;710.58;72.985
"6";"w1";81.7886;67.9370754181202;14.79;399.42;54.75
"7";"w6";75.1162;43.3872981925469;9.64;219.15;67.95
"8";"w5";109.1006;81.3852282492571;16.39;514.87;87.065
"9";"w76";92.8514;258.263311046486;7.14;1835.39;40.115
"10";"w80";56.2958;57.7119503095383;8.38;375.64;37.58
"11";"w75";57.4634;74.1886937755508;8.04;530.59;38.975
"12";"w79";71.118;178.177714472641;7.34;1266.96;32.41
"13";"w74";43.812;45.7012870805224;7.93;309.82;32.07
"14";"w73";35.1278;29.8126295857364;7.44;216.6;28.165
"15";"w78";33.0406;20.7289671528634;8.38;144.45;28.435
"16";"w77";49.5666;44.5469680413097;8.54;313.82;38.71
"17";"w84";135.2094;289.653669471678;3.66;1977.89;51.525
"18";"w88";56.3622;59.2765619197032;5.11;333.65;32.54
"19";"w83";70.0788;81.9368095656398;7.56;525.23;42.65
"20";"w87";133.9042;315.442764096398;4.39;2065.34;24.795
"21";"w82";41.0646;40.0162939369575;6.65;252.44;27.735
"22";"w81";33.922;26.6313277236891;5.23;158.19;24.81
"23";"w86";25.8042;14.7495499882926;6.25;85.81;21.895
"24";"w85";56.2846;42.4756393669672;9.56;265.54;45.65
"25";"w92";45.522;143.859771404557;4.66;1035.3;22.15
"26";"w96";36.91;39.7452947285742;5.93;266.47;24.945
"27";"w91";34.6762;44.1516837633952;5.57;313.29;25.085
"28";"w95";51.3616;161.864509381729;4.85;1158.58;18.08
"29";"w90";25.698;30.5994665819854;5.46;222.33;19.3
"30";"w89";19.9752;14.2908048415899;4.94;100.53;16.71
"31";"w94";19.4794;11.7266017851964;5.83;82.13;17.26
"32";"w93";30.4328;26.7385776520955;6.03;190.34;26.02
"33";"w100";255.6536;536.933297460187;4.81;3669.97;99.995
"34";"w104";80.653;76.9915757716123;6.21;449.45;53.62
"35";"w99";136.709;138.352384832266;12.33;884.81;97.42
"36";"w103";113.2664;176.794756060379;7;1196.48;57.51
"37";"w98";89.2622;89.4215832570867;10.67;583.34;64.655
"38";"w97";73.1132;66.6900417998467;10.77;428.13;51.395
"39";"w102";65.534;36.3907776498275;9.14;184.49;61.945
"40";"w101";98.8178;70.8551468696408;14.08;448.58;82.375
"41";"w108";87.9938;238.521163360779;6.48;1689.85;43.785
"42";"w112";55.0666;53.9656108794465;7.61;352.42;39.935
"43";"w107";54.9718;59.3270957709228;7.24;405.29;41.85
"44";"w111";69.0648;165.628410436847;6.62;1174.99;33.76
"45";"w106";44.8238;45.4759425024902;7.19;306.54;35.66
"46";"w105";36.8396;28.6155134149293;6.77;202.65;32.575
"47";"w110";35.0162;20.9548923604187;7.55;141.57;33.055
"48";"w109";49.6764;43.4041752322497;7.7;301.52;43.115
"49";"w116";139.483;284.325641670294;3.74;1948.19;58.555
"50";"w120";58.8744;55.1860024089221;5.13;320.8;39.085
"51";"w115";71.6648;68.5550684126362;7.06;424.23;47.535
"52";"w119";127.802;258.771670247052;4.44;1631.3;31.505
"53";"w114";45.5854;40.2452761689912;6.76;256.81;34.515
"54";"w113";40.1636;30.5574198718493;5.29;192.47;32.835
"55";"w118";31.3748;17.3637409258136;6.52;96.93;28.355
"56";"w117";60.7418;43.4669406485773;9.59;278.21;50.435
"57";"w124";49.9688;139.841577605167;4.62;1009.05;27.025
"58";"w128";41.0158;40.3297587037418;5.79;268.6;29.12
"59";"w123";37.0658;35.4573351606389;5.37;242.27;29.635
"60";"w127";54.2302;145.585538675336;4.8;1042.39;24.71
"61";"w122";30.4994;31.2047635302624;5.34;224.24;25.15
"62";"w121";24.9702;16.3583195447005;4.91;112.58;22.19
"63";"w126";24.656;14.1349549352097;5.49;94.89;23.785
"64";"w125";35.1414;28.1260821658474;5.87;196.43;31.955
"65";"w132";257.7638;573.313286837883;5.84;3933.9;93.93
"66";"w136";83.9682;81.1320929905078;7.34;458.07;51.545
"67";"w131";143.3874;155.636919690198;13.04;986.39;93.02
"68";"w135";115.4476;201.286546774716;7.76;1375.11;50.925
"69";"w130";90.4862;97.559563928078;11.7;627.9;58.85
"70";"w129";75.119;72.7880826826222;11.24;468.44;44.35
"71";"w134";64.2328;37.5251680462321;9.71;188.86;56.445
"72";"w133";97.7534;75.7928288463402;15.02;481.16;74.75
"73";"w140";91.5152;253.44321599047;7.43;1802.16;38.14
"74";"w144";57.8578;60.6378622977494;8.65;393.04;38.575
"75";"w139";58.9366;77.8736583167418;8.24;553.75;39.285
"76";"w143";72.0204;176.393565780661;7.6;1250.37;31.56
"77";"w138";44.9678;47.2545913238457;8.16;318.78;30.94
"78";"w137";36.6062;31.1442783352;7.72;223.82;28.105
"79";"w142";34.825;23.3331592243261;8.38;161.01;28.29
"80";"w141";50.404;46.0628458450728;8.74;322.37;38.46
"81";"w148";120.3536;255.963733637787;4.12;1741.36;44.87
"82";"w152";56.1558;58.8586831313714;5.92;342.96;32.45
"83";"w147";64.9862;74.4634757993639;7.66;478.45;41.245
"84";"w151";129.3668;298.429717917787;5.01;1944.59;23.99
"85";"w146";39.4568;38.3659994265756;7.09;239.57;26.02
"86";"w145";32.2838;27.9331572333027;5.1;183.74;23.225
"87";"w150";26.3128;15.8433856719775;6.52;100.65;21.365
"88";"w149";52.2512;42.3169084573502;9.49;267.34;38.77
"89";"w12";96.5828;275.23279524009;6.84;1954.39;42
"90";"w16";55.2754;57.3472734867783;8.14;380.25;37.96
"91";"w11";56.4242;73.5961671054427;7.82;524.18;38.52
"92";"w15";71.8058;181.518367790329;7.04;1288.85;31.725
"93";"w10";44.0616;46.5587889228144;7.63;315.88;31.77
"94";"w9";35.0598;32.2614320500248;7.11;235.08;28.37
"95";"w14";32.5792;20.6143090624558;7.85;143.6;28.365
"96";"w13";50.0584;45.8554365663863;8.34;323.57;40.61
"97";"w156";44.9646;132.728855900336;5.28;957.53;22.05
"98";"w160";39.41;42.5729923490353;6.59;283.96;25.375
"99";"w155";36.5668;46.5078051136559;6.12;332.86;24.885
"100";"w159";52.2342;152.884928263591;5.47;1093.93;18.65
"101";"w154";27.7678;29.5628382477953;6.01;211.27;19.945
"102";"w153";22.8098;17.121841819913;5.58;117.92;17.86
"103";"w158";22.474;14.689154961038;6.11;99.69;18.29
"104";"w157";32.4018;28.3528167761663;6.59;200.45;25.81
"105";"w164";234.7206;488.061548813513;5.62;3342.27;93.16
"106";"w168";82.4108;76.2617252501047;7.16;436.48;54.84
"107";"w163";131.0074;130.783278791554;11.69;798.55;88.615
"108";"w167";113.095;188.443311231678;6.98;1279.23;53.615
"109";"w162";84.9494;81.9174191042044;10.5;524.81;59.455
"110";"w161";70.5844;59.0077687434598;10;367.47;46.83
"111";"w166";62.3448;34.1102726306721;9.16;174.08;57.915
"112";"w165";95.3194;68.1265182091828;13.78;427.18;76.805
"113";"w172";88.0094;236.481115278379;7.03;1678.98;42.145
"114";"w176";57.5424;56.6450060684064;8.12;369.83;40.39
"115";"w171";57.748;64.109012833849;7.74;443.03;41.28
"116";"w175";71.0272;165.53232077323;7.2;1172.39;33.89
"117";"w170";46.1584;45.259079880986;7.73;309;35.665
"118";"w169";39.0364;30.1056753589141;7.31;212.38;32.835
"119";"w174";37.351;23.0741530677925;8;155.49;33.525
"120";"w173";51.3958;44.6195289947606;8.17;308.78;43.14
"121";"w180";127.4332;256.560234017953;4.17;1756.72;53.595
"122";"w184";60.8924;55.591918608109;6.4;325.15;39.825
"123";"w179";69.7824;68.9898396411695;7.66;419.38;45.66
"124";"w183";123.2218;244.998982535913;5.16;1543.66;30.275
"125";"w178";44.93;39.5111348810919;6.94;256.3;33.31
"126";"w177";38.809;28.2637694996002;5.32;181.59;31.82
"127";"w182";32.4362;18.1498498211586;6.44;111.77;29.235
"128";"w181";58.7372;42.8542567618696;9.6;273.54;46.41
"129";"w188";49.98;131.645600886065;5.42;952.5;27.06
"130";"w192";47.983;53.5788642934842;6.75;359.81;32.595
"131";"w187";40.5718;41.1201847594714;6.18;284.7;29.835
"132";"w191";56.5384;142.22053826192;5.57;1017.07;25.83
"133";"w186";33.1348;31.9737421759589;6.09;228.45;25.985
"134";"w185";28.1134;18.6837471234072;5.66;127.58;24.365
"135";"w190";27.9224;16.7861643173715;6.42;113.62;24.815
"136";"w189";37.6688;30.1252764329768;6.54;209.73;32.14
"137";"w196";301.3348;667.771351657779;4.62;4572.94;108.885
"138";"w200";77.1644;75.1426932415377;6.21;426.84;48.105
"139";"w195";161.4594;180.241029887023;14.62;1182.54;106.055
"140";"w199";114.7646;212.915301117221;5.33;1475.64;46.825
"141";"w194";100.9708;97.7100108889482;12.76;596.09;69.645
"142";"w193";108.2444;88.6591177709228;19.57;572.79;80.325
"143";"w198";73.4438;41.1861260516555;9.21;211.92;67.48
"144";"w197";50.5312;42.0264031993882;7.58;255.39;37.18
"145";"w204";86.221;243.037367205463;6.98;1727.03;39.64
"146";"w208";51.0782;51.5969340842841;8.16;341.76;36.405
"147";"w203";55.6202;70.0881354333999;7.59;495.63;37.745
"148";"w207";61.071;136.750639221727;7.2;972.81;30.785
"149";"w202";40.8542;40.6686620610604;7.59;275.73;30.24
"150";"w201";36.2624;32.6660950459497;7.26;236.69;29.58
"151";"w206";31.1744;18.7113487510022;7.67;129.36;27.48
"152";"w205";34.6414;26.4301911480498;7.36;185.84;28.47
"153";"w212";147.57;319.847765446664;3.25;2188.18;54.895
"154";"w216";57.1434;61.1801326165577;4.49;352.03;32.63
"155";"w211";73.2418;86.0919366839892;7.7;568.82;48.46
"156";"w215";118.765;252.842399039482;3.43;1558.58;24.16
"157";"w210";42.369;39.7707473386854;6.64;242.65;28.955
"158";"w209";50.4524;39.3818110693508;7.75;239.61;38.675
"159";"w214";25.9138;15.0863186959549;6;80.8;21.25
"160";"w213";27.663;21.8685111658806;4.97;136.57;20.79
"161";"w220";42.077;128.305069924642;4.21;922.41;20.45
"162";"w224";31.737;33.2351462141744;5.3;227.07;22.315
"163";"w219";32.2756;40.3192198134754;4.82;284.8;24.39
"164";"w223";40.8998;109.33396465184;4.37;782.7;17.355
"165";"w218";23.1412;26.3866329517544;4.83;191.73;17.91
"166";"w217";20.0792;15.3424245536249;4.48;106.11;16.6
"167";"w222";17.555;9.92363993662793;5.19;69.18;16.545
"168";"w221";20.3986;16.7730276689593;4.62;122.27;17.905
"169";"w228";269.0946;569.197133987543;4.34;3889.1;104.045
"170";"w232";78.3626;72.2733126236223;5.83;416.79;51.205
"171";"w227";141.3934;136.389287921129;12.78;833.2;98.215
"172";"w231";105.6012;172.839950191511;4.87;1169.68;48.545
"173";"w226";89.1044;77.3763281620208;10.83;454.45;66.37
"174";"w225";100.1062;75.7913380407023;15.79;478.9;77.63
"175";"w230";67.755;36.9312152825343;8.9;187.65;62.12
"176";"w229";49.9312;37.262212168274;7.02;226.24;39.32
"177";"w20";148.2192;322.438676275863;3.23;2208.16;55.065
"178";"w24";54.933;56.3236909682392;4.64;322.48;32.455
"179";"w19";67.9258;76.2437879193165;7.6;512.86;46.975
"180";"w23";138.3914;331.154017875584;4.14;2176.61;26.795
"181";"w18";43.303;41.8829100235504;7.19;264.26;30.47
"182";"w17";35.2872;27.6631140277859;5.81;154.25;24.985
"183";"w22";26.1906;15.185382258163;4.62;79.88;22.71
"184";"w21";59.3266;45.0156978791957;9.86;283.22;45.725
"185";"w236";83.344;229.693970672426;6.24;1628.06;39.575
"186";"w240";50.5334;49.4750811163497;7.23;328.71;38.525
"187";"w235";54.0286;62.1470157232519;6.81;429.64;40.635
"188";"w239";59.3166;123.972465962308;6.37;878.8;32.625
"189";"w234";40.9284;36.8032095627874;6.79;244.13;33.74
"190";"w233";37.5512;31.1447951978877;6.47;219.47;32.905
"191";"w238";33.1174;19.5405008823902;6.84;129.94;31.665
"192";"w237";36.424;26.1626037055386;6.57;178.88;32.73
"193";"w244";150.6044;310.803240325083;3.29;2131.69;61.185
"194";"w248";54.2364;50.7022358626263;4.57;294.32;36.725
"195";"w243";76.8676;75.3133274532578;7.9;468.09;55.975
"196";"w247";114.268;218.592107630553;3.49;1312.87;30.225
"197";"w242";45.8836;37.0164591499511;6.58;223.1;35.81
"198";"w241";56.4646;43.8726925533133;7.26;278.54;44.52
"199";"w246";31.4216;17.3347128864929;5.92;89.22;29.65
"200";"w245";32.2092;21.9978070187156;5.02;136.13;27.385
"201";"w252";46.832;129.260961292595;4.32;931.82;25.09
"202";"w256";36.0722;34.4299766927197;5.29;232.45;27.165
"203";"w251";35.285;34.8820479090109;4.92;240.17;28.56
"204";"w255";45.2712;103.893886988757;4.48;741.81;22.805
"205";"w250";27.5974;24.9931870561657;4.86;177.49;24.53
"206";"w249";24.8366;18.0927366878851;4.61;126.62;23.68
"207";"w254";22.8064;12.5630268613248;5.03;82.26;21.96
"208";"w253";24.8722;16.8648408924167;4.69;115.92;23.92
"209";"w260";284.7146;630.371636324549;5.05;4320.14;103.905
"210";"w264";80.3938;78.1787994355482;6.61;442.89;50.385
"211";"w259";166.0042;191.602035214469;14.28;1250.13;104.185
"212";"w263";111.7142;206.121485468633;5.69;1421.47;44.965
"213";"w258";96.3032;94.4315998096625;12.41;576.91;63.185
"214";"w257";102.7988;82.6570741602598;16.12;475.38;67.48
"215";"w262";69.9964;40.5936780420251;10.21;205.44;60.125
"216";"w261";50.2924;41.5088856757299;7.94;255.44;36.87
"217";"w268";84.4346;236.996220534834;7.43;1689.07;37.395
"218";"w272";54.5134;58.5625355482217;8.46;393.58;38.37
"219";"w267";56.708;71.6433627100806;8.08;505.78;38.725
"220";"w271";60.2114;128.959359822213;7.57;917.13;30.5
"221";"w266";41.6598;40.7808475199937;8.12;277.29;30.905
"222";"w265";37.013;33.9994932285162;7.72;247.71;29.345
"223";"w270";32.372;19.8349522462809;8.12;137.42;28.215
"224";"w269";35.9564;27.7306656131247;7.81;194.57;29.8
"225";"w276";134.888;289.539135143407;3.62;1976.75;51.07
"226";"w280";52.3906;53.6270987091338;5.06;308.03;30.515
"227";"w275";73.2982;84.2426637195871;7.78;534.96;45.065
"228";"w279";117.3384;246.563297741789;3.84;1515.66;24.165
"229";"w274";40.179;38.1461266790253;6.53;232.31;26.635
"230";"w273";46.7886;39.5824867999132;5.69;241.97;32.59
"231";"w278";25.2624;14.7105302502968;6.4;83.55;21.38
"232";"w277";28.3842;23.3078178256978;5.25;148.82;20.565
"233";"w284";40.387;120.268827441202;4.58;867.24;21.685
"234";"w288";34.0062;38.9465990703021;5.52;269.01;22.72
"235";"w283";34.1118;43.8898947827494;5.2;310.51;24.41
"236";"w287";40.5248;102.793976362868;4.71;735.92;17.555
"237";"w282";24.711;30.1666999304511;5.17;219.77;18.595
"238";"w281";20.988;16.2689447495929;4.97;115.29;17.535
"239";"w286";18.9678;11.2457551701493;5.4;78.26;16.915
"240";"w285";21.1286;15.9878342791879;4.94;113.91;17.815
"241";"w292";255.1806;538.433527875493;4.69;3684.09;100.48
"242";"w296";78.668;73.1798139335359;6.16;422.78;52.795
"243";"w291";143.0896;144.531301347578;12.72;866.8;96.72
"244";"w295";103.2082;165.576058245269;5.24;1109.58;47.475
"245";"w290";85.7384;75.7178059656043;10.59;444.88;62.15
"246";"w289";97.285;80.157681472081;10.96;492.84;69.47
"247";"w294";64.8558;35.1670848594279;8.76;173.54;62.175
"248";"w293";50.1344;36.9375231018264;7.3;224.61;39.315
"249";"w300";81.7124;224.177635648016;6.45;1593.89;40.11
"250";"w304";52.1112;52.130113653732;7.46;346.65;38.43
"251";"w299";53.6078;59.718637923762;7.01;413.14;39.635
"252";"w303";59.357;119.710863098875;6.59;847.15;32.975
"253";"w298";41.6696;37.2046494219774;6.95;246.45;34.26
"254";"w297";38.1362;32.4615796068434;6.67;232.58;32.39
"255";"w302";34.2684;20.3337429783649;7.18;137;31.91
"256";"w301";37.3392;26.7546857112956;6.77;183.6;33.41
"257";"w308";139.277;283.909236108935;3.66;1944.22;57.84
"258";"w312";55.6076;52.1521228385905;4.98;303.41;37.105
"259";"w307";75.032;75.9772540344296;7.51;478.49;51.18
"260";"w311";113.4358;212.203471908834;3.9;1266.12;29.42
"261";"w306";44.038;35.5106029006457;6.72;210.92;32.945
"262";"w305";52.275;40.5814743221986;5.98;252.61;39.63
"263";"w310";30.8668;17.0121989172476;6.27;98.12;28.775
"264";"w309";32.8538;22.2923867199874;5.33;138.09;27.735
"265";"w28";48.6572;156.746827355062;4.21;1123.56;21.395
"266";"w32";35.8632;40.4266535355282;5.59;278.03;24.525
"267";"w27";33.1494;39.9999356331115;5.21;280.58;25.265
"268";"w31";53.348;174.136456052518;4.44;1245.72;18.62
"269";"w26";24.9322;29.8693188631234;5.02;216.26;19.5
"270";"w25";18.8898;13.4278176824935;4.51;92.42;15.68
"271";"w30";18.345;10.6571700976289;5.46;73.35;16.865
"272";"w29";31.0374;28.6675724369639;5.73;201.81;25.795
"273";"w316";44.5844;118.977883267335;4.6;860.85;25.755
